,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.3107784271240234,0.3268909931182861,0.26799821853637695,0.29390840530395507,0.363141393661499,0.30596389770507815,0.2751177787780762,0.27056174278259276,0.29880614280700685,0.25231080055236815,0.2894480228424072,0.32634739875793456,0.5301273345947266,0.3563028335571289,0.32685103416442873,0.31416707038879393,0.3365317821502686,0.2804582118988037,0.37604241371154784,0.2815380096435547
std,0.05648433798741812,0.0831406149088618,0.04088650976695779,0.047651222085426395,0.21046154954569204,0.11614325852470408,0.05132446377617333,0.04873867808842197,0.04307946381636376,0.041048570176375414,0.05347145495943139,0.10496991616800665,0.42256791827905477,0.1651772460885974,0.12363560958091524,0.07381002011492428,0.07415154386697818,0.013708760043493296,0.14813991130622176,
min,0.23276209831237793,0.25781846046447754,0.2105722427368164,0.24756526947021484,0.2473435401916504,0.21294474601745605,0.21673870086669922,0.2087395191192627,0.22843384742736816,0.20902156829833984,0.23823261260986328,0.2500193119049072,0.20888090133666992,0.24883151054382324,0.23552608489990234,0.22775912284851074,0.25647473335266113,0.26079630851745605,0.21148037910461426,0.2815380096435547
25%,0.28690218925476074,0.26192188262939453,0.2504591941833496,0.25127077102661133,0.2510499954223633,0.21441197395324707,0.2401745319366455,0.22873163223266602,0.29176998138427734,0.2337033748626709,0.23998141288757324,0.26044178009033203,0.260115385055542,0.2520327568054199,0.2476959228515625,0.242448091506958,0.31061720848083496,0.2755589485168457,0.27163147926330566,0.2815380096435547
50%,0.30297017097473145,0.28926515579223633,0.2646322250366211,0.28347229957580566,0.26306581497192383,0.25896477699279785,0.27474212646484375,0.29643702507019043,0.3096458911895752,0.23618698120117188,0.28330230712890625,0.2779829502105713,0.42451024055480957,0.2965891361236572,0.2612326145172119,0.3439595699310303,0.31438374519348145,0.28258705139160156,0.338165283203125,0.2815380096435547
75%,0.3619413375854492,0.3773207664489746,0.30609965324401855,0.33786654472351074,0.3180699348449707,0.35889434814453125,0.2944180965423584,0.29858922958374023,0.3254423141479492,0.2666616439819336,0.3252129554748535,0.3397860527038574,0.5016193389892578,0.3398756980895996,0.3601646423339844,0.3728902339935303,0.3448455333709717,0.2851555347442627,0.5041074752807617,0.2815380096435547
max,0.36931633949279785,0.44812870025634766,0.3082277774810791,0.3493671417236328,0.7361776828765869,0.4846036434173584,0.349515438079834,0.3203113079071045,0.33873867988586426,0.3159804344177246,0.36051082611083984,0.5035068988800049,1.2555108070373535,0.6441850662231445,0.5296359062194824,0.38377833366394043,0.45633769035339355,0.29819321632385254,0.5548274517059326,0.2815380096435547
