real_inputs,given_candidate,target,predicted,top_candidates
"[9.0, 12.5, 22.5, 0.3]",[ 8.         13.35276897 22.0517845   0.35296464],235.75,235.66747,"[array([ 8.        , 13.35276897, 22.0517845 ,  0.35296464]), array([ 8.90285145, 12.62436291, 20.90516308,  0.36043974]), array([ 8.        , 13.2789892 , 20.22279713,  0.34726175]), array([ 8.        , 13.0890364 , 20.27200497,  0.36396482]), array([ 8.        , 13.88758584, 21.301529  ,  0.34006492])]"
"[10.0, 10.0, 20.0, 0.4]",[12.         16.7850371  23.59537373  0.22511477],278.34,277.7961,"[array([12.        , 16.7850371 , 23.59537373,  0.22511477]), array([12.        , 16.81143835, 23.94523791,  0.22781769]), array([12.        , 15.3894171 , 24.09222099,  0.21833985]), array([12.        , 16.96780504, 23.48560104,  0.22842723]), array([12.        , 16.9648083 , 22.73346285,  0.2       ])]"
"[10.0, 15.0, 20.0, 0.4]",[10.93587855 15.81028982 20.62694114  0.30939812],282.39,282.04013,"[array([10.93587855, 15.81028982, 20.62694114,  0.30939812]), array([11.2018644 , 17.76370111, 20.65586526,  0.30796729]), array([10.44113678, 15.01439688, 20.82397981,  0.30848741]), array([11.95804365, 17.08209829, 20.07307824,  0.35720003]), array([11.55184809, 15.93522145, 22.41414939,  0.31532118])]"
"[10.0, 15.0, 25.0, 0.3]",[12.         10.         15.81472187  0.4       ],278.22,276.26144,"[array([12.        , 10.        , 15.81472187,  0.4       ]), array([12.        , 10.00667444, 15.        ,  0.4       ]), array([12.       , 10.       , 15.1055788,  0.4      ]), array([12.        , 10.        , 17.57791979,  0.4       ]), array([12.        , 10.        , 15.88884913,  0.4       ])]"
"[10.0, 20.0, 15.0, 0.3]",[ 9.89024125 13.80840621 19.          0.28533577],244.04,244.10231,"[array([ 9.89024125, 13.80840621, 19.        ,  0.28533577]), array([ 9.26984544, 14.78359544, 18.84525481,  0.29807284]), array([ 9.8936499 , 13.53340773, 18.98726381,  0.28395772]), array([ 9.87455808, 14.        , 16.76793788,  0.27771493]), array([ 9.88761904, 12.68128659, 19.72626848,  0.26885626])]"
"[10.0, 20.0, 20.0, 0.2]",[12.         16.7274108  25.          0.30564471],285.67,286.61102,"[array([12.        , 16.7274108 , 25.        ,  0.30564471]), array([12.        , 16.        , 25.        ,  0.32560986]), array([12.        , 18.98025313, 25.        ,  0.33171588]), array([12.        , 18.21235071, 25.        ,  0.34613601]), array([12.        , 19.93539562, 25.        ,  0.30975642])]"
"[10.0, 20.0, 20.0, 0.4]",[12.         14.48260598 19.          0.4       ],280.62,280.69183,"[array([12.        , 14.48260598, 19.        ,  0.4       ]), array([12.        , 14.99493887, 19.21296773,  0.4       ]), array([12.        , 14.22261916, 19.16246393,  0.4       ]), array([12.        , 12.73751845, 15.44392574,  0.4       ]), array([12.        , 14.07628227, 19.00155136,  0.4       ])]"
"[12.0, 10.0, 15.0, 0.2]",[12.         16.95365263 25.          0.34373206],286.23,286.61102,"[array([12.        , 16.95365263, 25.        ,  0.34373206]), array([12.        , 17.40074293, 25.        ,  0.34294072]), array([12.        , 15.7183551 , 25.        ,  0.36705296]), array([12.        , 19.28906187, 25.        ,  0.39719689]), array([12.        , 19.24161127, 25.        ,  0.35570947])]"
"[12.0, 10.0, 15.0, 0.4]",[12.         18.07043087 15.          0.39961554],293.41,294.34628,"[array([12.        , 18.07043087, 15.        ,  0.39961554]), array([12.        , 17.22110054, 15.52430349,  0.30298487]), array([12.        , 16.46778519, 15.        ,  0.39980142]), array([12.        , 16.26059597, 15.        ,  0.31151633]), array([12.        , 16.19767497, 15.75635952,  0.37314184])]"
"[12.0, 10.0, 20.0, 0.2]",[11.48650772 16.49761898 18.06148661  0.30836381],271.2,271.18127,"[array([11.48650772, 16.49761898, 18.06148661,  0.30836381]), array([11.27319614, 18.31197235, 18.3805081 ,  0.33216253]), array([11.36839277, 15.67757383, 17.89597697,  0.35820142]), array([11.47191323, 17.54506435, 18.83638274,  0.32864885]), array([11.9901767 , 19.85963525, 19.13534183,  0.31442478])]"
"[12.0, 10.0, 20.0, 0.3]",[12.         16.07895073 25.          0.4       ],291.89,291.40707,"[array([12.        , 16.07895073, 25.        ,  0.4       ]), array([12.        , 16.30124483, 25.        ,  0.4       ]), array([12.        , 15.75580653, 25.        ,  0.4       ]), array([12.        , 17.55904543, 25.        ,  0.4       ]), array([12.        , 16.49446704, 25.        ,  0.4       ])]"
