test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,326.2146728515625,2.105839946241837,323.5999272043347,328.82941849879035,"[322.4476318359375, 327.15643310546875, 327.15643310546875, 327.15643310546875, 327.15643310546875]",[12.         20.         23.24964408  0.4       ],"[array([12.        , 20.        , 23.32195132,  0.4       ]), array([12.        , 20.        , 23.30793998,  0.4       ]), array([12.        , 20.        , 23.18007216,  0.4       ]), array([12.        , 20.        , 23.22387781,  0.4       ]), array([12.        , 20.        , 22.44781249,  0.4       ])]","[4.686887979507446, 2.8856618404388428, 1.8579320907592773, 3.842050075531006, 4.6857709884643555]","[400.09521484375, 233.8935546875, 233.8935546875, 233.8935546875, 233.8935546875]","[4641.26171875, 4189.80244140625, 2908.724853515625, 1929.35791015625, 1929.35791015625, 1195.094140625, 1195.094140625, 816.47451171875, 741.4232666015625, 650.8303588867187, 650.8303588867187, 650.8303588867187, 650.8303588867187, 637.4987426757813, 637.4987426757813, 637.4987426757813, 637.4987426757813, 637.4987426757813, 464.9816162109375, 431.7412841796875, 431.7412841796875, 431.7412841796875, 333.10303955078126, 333.10303955078126, 333.10303955078126, 333.10303955078126, 357.90541076660156, 357.90541076660156, 357.90541076660156, 316.35499572753906, 343.84214274088544, 343.84214274088544, 343.84214274088544, 343.84214274088544, 289.2941080729167, 289.2941080729167, 289.2941080729167, 289.2941080729167, 289.2941080729167, 289.2941080729167, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 316.994384765625, 400.09521484375]",12.0,20.0,25.0,0.4
1,337.88,327.15643310546875,0.0,327.15643310546875,327.15643310546875,"[327.15643310546875, 327.15643310546875, 327.15643310546875, 327.15643310546875, 327.15643310546875]",[12.        20.        23.4167474  0.4      ],"[array([12.       , 20.       , 23.2233137,  0.4      ]), array([12.        , 20.        , 24.09645224,  0.4       ]), array([12.        , 20.        , 21.36375878,  0.4       ]), array([12. , 20. , 25. ,  0.4]), array([12. , 20. , 25. ,  0.4])]","[2.9153361320495605, 3.7218081951141357, 5.981007099151611, 4.362819194793701, 3.0928850173950195]","[114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875]","[3798.829443359375, 2659.3135375976562, 2538.0949462890626, 2005.3296142578124, 1348.1377746582032, 1303.3870178222655, 1303.3870178222655, 1092.0230529785156, 1029.529541015625, 954.8109619140625, 954.8109619140625, 954.8109619140625, 954.8109619140625, 954.8109619140625, 863.599267578125, 742.4346923828125, 742.4346923828125, 637.4829833984375, 637.4829833984375, 637.4829833984375, 509.3738525390625, 248.1298583984375, 248.1298583984375, 248.1298583984375, 248.1298583984375, 248.1298583984375, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 281.41357421875, 447.8321533203125, 447.8321533203125, 176.57656860351562, 176.57656860351562, 176.57656860351562, 176.57656860351562, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875, 114.9949951171875]",12.0,20.0,20.0,0.4
2,278.4,278.78318481445314,1.3771422110246243,277.07323691061714,280.49313271828913,"[276.9142150878906, 278.3532409667969, 278.3532409667969, 280.1476135253906, 280.1476135253906]",[12.        20.        16.7749366  0.4      ],"[array([11.3228737 , 17.35986108, 25.        ,  0.4       ]), array([11.77098101, 15.02875478, 24.67426432,  0.21778449]), array([10.84719293, 15.84299901, 18.69529964,  0.4       ]), array([11.71742641, 16.46646829, 23.31494657,  0.27318925]), array([11.34656614, 10.        , 16.41888442,  0.4       ])]","[3.5675487518310547, 2.6571080684661865, 2.86559796333313, 3.367767095565796, 2.282625913619995]","[2.207538604736328, 0.002185836434364319, 0.002185836434364319, 3.0541744232177734, 3.0541744232177734]","[39.06303234100342, 39.06303234100342, 17.11889190673828, 17.11889190673828, 17.11889190673828, 11.950427460670472, 7.354069924354553, 5.766874623298645, 5.766874623298645, 5.458665680885315, 2.8718251258134844, 2.8718251258134844, 2.8718251258134844, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.6640518248081206, 1.3165211752057076, 1.3165211752057076, 1.3165211752057076, 1.3165211752057076, 0.7373034258683523, 0.002185836434364319, 0.002185836434364319, 0.002185836434364319]",12.0,20.0,15.0,0.3
3,260.71,260.0301513671875,0.8289676640699883,259.00085206303675,261.05945067133825,"[260.02239990234375, 261.2140197753906, 260.02239990234375, 258.8695373535156, 260.02239990234375]",[10.31438588 12.40033584 22.97375375  0.35483973],"[array([10.58489411, 16.16675603, 17.66952008,  0.25341796]), array([10.65064651, 16.530026  , 16.85382783,  0.26486266]), array([11.3211826 , 12.67895627, 18.43282126,  0.23976414]), array([11.71531777, 13.37729774, 17.16621578,  0.2       ]), array([11.67381116, 14.12816761, 16.41671479,  0.2       ])]","[2.8086490631103516, 1.9969801902770996, 2.642778158187866, 3.009948253631592, 1.3755388259887695]","[0.4727821350097656, 0.2540445327758789, 0.4727821350097656, 3.3872714042663574, 0.4727821350097656]","[1.0164106369018555, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 1.0119324684143067, 3.3872714042663574]",10.0,12.5,22.5,0.25
4,228.21,230.3185791015625,1.7159642671341688,228.18792804885788,232.44923015426713,"[233.25634765625, 229.2620086669922, 230.28114318847656, 229.80300903320312, 228.99038696289062]",[ 9.92413951 17.99475695 25.          0.2       ],"[array([ 9.92413951, 17.99475695, 25.        ,  0.2       ]), array([ 8.26632677, 12.93825221, 23.49081632,  0.4       ]), array([ 8.99168121, 12.53926202, 23.89434496,  0.4       ]), array([ 8.        , 13.97591893, 23.91065308,  0.4       ]), array([ 8.31551727, 16.07966049, 16.94358469,  0.33885091])]","[2.908006191253662, 2.47564697265625, 3.541198968887329, 2.0889790058135986, 3.602219820022583]","[25.465557098388672, 1.10670804977417, 4.289606094360352, 2.537656307220459, 0.6089933514595032]","[17.206002235412598, 17.206002235412598, 17.206002235412598, 16.37966423034668, 16.37966423034668, 8.364164733886719, 8.364164733886719, 8.364164733886719, 8.364164733886719, 8.364164733886719, 7.628042185306549, 7.628042185306549, 7.628042185306549, 7.628042185306549, 7.628042185306549, 6.801704180240631, 6.801704180240631, 6.801704180240631, 6.801704180240631, 6.801704180240631, 6.801704180240631, 7.867716148495674, 7.867716148495674, 7.867716148495674, 7.867716148495674, 7.867716148495674, 2.4492997229099274, 2.4492997229099274, 2.4492997229099274, 2.4492997229099274, 2.4492997229099274, 4.289606094360352, 4.289606094360352, 4.289606094360352, 4.289606094360352, 4.289606094360352]",10.0,10.0,25.0,0.2
5,334.54,323.58298950195314,3.601878835729881,319.11066622573526,328.055312778171,"[322.4476318359375, 322.4476318359375, 318.7068176269531, 327.15643310546875, 327.15643310546875]",[12.         20.         24.14752819  0.4       ],"[array([12.        , 20.        , 22.98797633,  0.4       ]), array([12.        , 20.        , 23.81991346,  0.4       ]), array([12.        , 20.        , 23.40081599,  0.2       ]), array([12. , 20. , 25. ,  0.4]), array([12. , 20. , 25. ,  0.4])]","[2.5789222717285156, 4.4347639083862305, 4.999844074249268, 4.262818813323975, 2.109551191329956]","[146.22557067871094, 146.22557067871094, 250.68994140625, 54.51718521118164, 54.51718521118164]","[2866.82958984375, 2298.2162841796876, 1758.280126953125, 1748.0050048828125, 1407.3297309875488, 1407.3297309875488, 1292.2579902648927, 1292.2579902648927, 1292.2579902648927, 1292.2579902648927, 1292.2579902648927, 1292.2579902648927, 1079.5581581115723, 1079.5581581115723, 722.6614875793457, 710.9794563293457, 549.1319953918457, 549.1319953918457, 549.1319953918457, 549.1319953918457, 355.6399543762207, 316.40540313720703, 316.40540313720703, 316.40540313720703, 316.40540313720703, 381.8774576187134, 381.8774576187134, 381.8774576187134, 226.31689548492432, 226.31689548492432, 226.31689548492432, 226.31689548492432, 226.31689548492432, 253.0140037536621, 253.0140037536621, 152.60356330871582, 152.60356330871582, 152.60356330871582, 152.60356330871582, 152.60356330871582, 152.60356330871582, 152.60356330871582, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625, 250.68994140625]",12.0,20.0,25.0,0.3
6,272.24,272.35292358398436,1.1608850552475487,270.9114944048307,273.794352763138,"[271.87738037109375, 271.70709228515625, 271.87738037109375, 271.87738037109375, 274.4253845214844]",[10.32519413 10.         16.99365184  0.2       ],"[array([10.94781142, 18.78577708, 24.86458495,  0.28201185]), array([12.        , 14.45118008, 25.        ,  0.4       ]), array([11.14367769, 14.69755812, 23.89791966,  0.4       ]), array([10.80749273, 13.68778193, 24.74610845,  0.4       ]), array([10.2031994 , 12.20570734, 23.29330399,  0.4       ])]","[2.9874160289764404, 3.919896125793457, 2.057576894760132, 1.7519481182098389, 1.7116987705230713]","[0.13148590922355652, 0.28398022055625916, 0.13148590922355652, 0.13148590922355652, 4.7759480476379395]","[1.7896667420864105, 1.7896667420864105, 1.7896667420864105, 1.7896667420864105, 1.2952856481075288, 1.2952856481075288, 1.2952856481075288, 1.2952856481075288, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.2820145428180694, 1.0908771991729735, 1.0908771991729735, 1.0908771991729735, 1.0908771991729735, 1.0908771991729735, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.20773306488990784, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916, 0.28398022055625916]",12.0,15.0,25.0,0.2
7,249.42,250.1506317138672,2.175090631912223,247.4498999833915,252.8513634443429,"[250.44752502441406, 249.6628875732422, 248.7132568359375, 253.72213745117188, 248.2073516845703]",[ 9.39734375 11.16815603 16.55607889  0.2731899 ],"[array([ 9.70340165, 16.82905153, 20.28031332,  0.2       ]), array([ 9.48650701, 17.16219269, 20.52345057,  0.2       ]), array([ 9.65310745, 17.09601322, 20.16837911,  0.22636163]), array([ 9.84300638, 17.53441504, 21.03687922,  0.2       ]), array([ 9.40870002, 16.83861135, 20.21851735,  0.2       ])]","[5.535569906234741, 1.6127631664276123, 2.5885608196258545, 6.967736005783081, 2.8370041847229004]","[1.0558114051818848, 0.058995261788368225, 0.4994833171367645, 18.50840187072754, 1.470511555671692]","[40.635648772120476, 40.635648772120476, 40.514984557032584, 40.514984557032584, 40.514984557032584, 40.514984557032584, 40.514984557032584, 40.514984557032584, 38.489098808169366, 38.489098808169366, 38.489098808169366, 38.489098808169366, 38.489098808169366, 23.941923972964286, 23.941923972964286, 23.941923972964286, 19.708595344424246, 12.416243049502373, 12.416243049502373, 12.416243049502373, 12.416243049502373, 20.50757888952891, 20.50757888952891, 20.50757888952891, 14.690048734347025, 14.690048734347025, 14.690048734347025, 14.690048734347025, 14.690048734347025, 21.299817323684692, 21.299817323684692, 21.299817323684692, 21.299817323684692, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 9.782106637954712, 18.50840187072754, 18.50840187072754, 18.50840187072754, 18.50840187072754, 18.50840187072754, 18.50840187072754]",10.0,15.0,25.0,0.2
8,232.62,233.27240295410155,0.7805714435324177,232.30319549464141,234.2416104135617,"[234.644775390625, 233.02145385742188, 232.68072509765625, 233.02145385742188, 232.9936065673828]",[ 8.         10.         20.03188524  0.2       ],"[array([ 9.67435907, 13.8421652 , 24.49493239,  0.27164649]), array([ 8.        , 11.20259234, 24.55120668,  0.4       ]), array([ 8.        , 10.40346911, 24.29137367,  0.4       ]), array([ 8.        , 11.07771747, 23.65907357,  0.4       ]), array([ 8.81071543, 10.89327507, 24.08570823,  0.4       ])]","[2.6685080528259277, 4.012772083282471, 4.167773962020874, 3.0608160495758057, 2.228208303451538]","[4.099735260009766, 0.1611691266298294, 0.0036881305277347565, 0.1611691266298294, 0.13958550989627838]","[9.326515963673591, 9.326515963673591, 5.6091104537248615, 5.6091104537248615, 5.6091104537248615, 5.6091104537248615, 5.6091104537248615, 5.6091104537248615, 5.6091104537248615, 2.4994139045476915, 2.4994139045476915, 2.4994139045476915, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.9445656299591064, 0.1611691266298294, 0.1611691266298294, 0.1611691266298294, 0.1611691266298294, 0.10867546126246452, 0.10867546126246452, 0.10867546126246452, 0.10867546126246452, 0.10867546126246452, 0.08242862857878208, 0.08242862857878208, 0.08242862857878208, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565]",8.0,10.0,15.0,0.2
9,238.63,238.70449829101562,1.1706609120147247,237.25093078246255,240.1580657995687,"[239.04054260253906, 240.32534790039062, 237.5580291748047, 239.04054260253906, 237.5580291748047]",[ 8.95780516 10.99520829 18.05942558  0.27491168],"[array([ 8.        , 11.78905762, 16.18463281,  0.2       ]), array([ 8.        , 18.75118297, 15.        ,  0.4       ]), array([ 8.        , 16.84766358, 15.        ,  0.4       ]), array([ 8.        , 15.22861822, 19.9758424 ,  0.4       ]), array([ 8.        , 16.38529256, 16.60147816,  0.4       ])]","[4.5478620529174805, 3.571218967437744, 2.797126054763794, 3.2625958919525146, 3.412641763687134]","[0.16854122281074524, 2.87418794631958, 1.1491318941116333, 0.16854122281074524, 1.1491318941116333]","[72.77718577384948, 60.978439235687254, 18.211820316314697, 18.211820316314697, 8.4190644800663, 8.4190644800663, 6.277856808900833, 2.9216279327869414, 2.9216279327869414, 2.9216279327869414, 2.287675368785858, 2.287675368785858, 2.287675368785858, 1.339251697063446, 1.339251697063446, 1.339251697063446, 1.339251697063446, 1.339251697063446, 1.1019068360328674, 1.1019068360328674, 1.1019068360328674, 1.1019068360328674, 1.1019068360328674, 1.1019068360328674, 1.1019068360328674, 1.335248239338398, 1.335248239338398, 1.397287021080653, 1.397287021080653, 1.397287021080653, 1.397287021080653, 2.0116599202156067, 2.0116599202156067, 2.0116599202156067, 1.1491318941116333, 1.1491318941116333, 1.1491318941116333, 1.1491318941116333, 1.1491318941116333]",8.0,15.0,15.0,0.3
