real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 25.0, 0.3]",[ 8.94469192 18.33845044 23.44583095  0.20591717],201.38,220.4544,"[array([ 8.94469192, 18.33845044, 23.44583095,  0.20591717]), array([ 8.69771327, 10.12176752, 22.88253182,  0.22778162]), array([ 8.17241404, 15.73376875, 23.81344613,  0.29945795]), array([ 8.75580636, 15.57488032, 23.96242137,  0.30612057]), array([ 8.48568162, 10.44173007, 21.57029644,  0.20332437])]",0.047248125076293945
"[8.0, 10.0, 25.0, 0.4]",[ 8.86303753 18.65252127 16.384238    0.20796843],215.0,219.08197,"[array([ 8.86303753, 18.65252127, 16.384238  ,  0.20796843]), array([ 8.1496369 , 15.77263226, 19.16905237,  0.2283007 ]), array([ 8.91617225, 13.88298902, 20.15912723,  0.20167212]), array([ 8.16637886, 10.84534634, 22.68462972,  0.34535621]), array([ 8.50894082, 11.83166982, 24.10204371,  0.32572567])]",0.035855770111083984
"[8.0, 15.0, 20.0, 0.3]",[ 9.22129442 15.62116727 19.536273    0.20693941],228.56,228.75833,"[array([ 9.22129442, 15.62116727, 19.536273  ,  0.20693941]), array([ 8.60569816, 11.17047839, 23.15729726,  0.27523467]), array([ 8.4316684 , 11.18571028, 19.2813857 ,  0.24634566]), array([ 8.40529154, 13.1845948 , 16.11831515,  0.29749281]), array([ 9.81672503, 10.00510099, 24.23226913,  0.21780782])]",0.030270099639892578
"[8.0, 15.0, 25.0, 0.4]",[ 8.76454597 17.02644916 24.83238519  0.20397942],213.66,220.4544,"[array([ 8.76454597, 17.02644916, 24.83238519,  0.20397942]), array([ 8.23772544, 12.76344323, 23.23736469,  0.29002395]), array([ 8.09138717, 15.02739629, 24.34207492,  0.39457141]), array([ 8.01782251, 15.26890882, 24.10034658,  0.35448942]), array([ 8.74008105, 19.4063213 , 24.24176929,  0.31101383])]",0.029053688049316406
"[8.0, 20.0, 15.0, 0.3]",[ 8.94666326 19.96649206 18.392088    0.22864306],197.73,219.08197,"[array([ 8.94666326, 19.96649206, 18.392088  ,  0.22864306]), array([ 8.59938481, 15.2051351 , 17.86326833,  0.24056768]), array([ 8.49868599, 14.6564221 , 22.81042383,  0.21987423]), array([ 8.96012491, 19.24155372, 18.87622709,  0.29929788]), array([ 9.71228837, 16.30557683, 18.6002421 ,  0.21246186])]",0.04747200012207031
"[8.0, 20.0, 25.0, 0.2]",[ 8.70794922 15.95668044 15.12146047  0.24894242],205.25,219.08197,"[array([ 8.70794922, 15.95668044, 15.12146047,  0.24894242]), array([ 8.18455973, 17.9601899 , 15.41707224,  0.25824475]), array([ 9.99219938, 19.53601645, 15.66496189,  0.2495596 ]), array([ 8.42590213, 11.87062176, 24.58494221,  0.29415175]), array([ 8.73498578, 13.80864982, 17.67616139,  0.22238433])]",0.049901485443115234
"[8.0, 20.0, 25.0, 0.3]",[ 8.47246186 15.05741341 17.64992183  0.21179566],215.7,219.08197,"[array([ 8.47246186, 15.05741341, 17.64992183,  0.21179566]), array([ 8.90374429, 16.2871257 , 15.69347113,  0.21080537]), array([ 8.11139767, 18.5672735 , 22.2144144 ,  0.21807567]), array([ 8.77372344, 10.16792784, 24.43168295,  0.23442692]), array([ 8.64279345, 19.05250577, 16.3292275 ,  0.25803817])]",0.0386042594909668
"[10.0, 10.0, 15.0, 0.2]",[11.01984038 18.28765001 15.12871201  0.35515332],269.91,269.4368,"[array([11.01984038, 18.28765001, 15.12871201,  0.35515332]), array([11.33685055, 11.61024479, 18.83397856,  0.36498611]), array([10.94827915, 11.74697548, 19.85365761,  0.29374539]), array([10.39892318, 11.02718834, 17.92583034,  0.28497359]), array([11.0256183 , 15.99913208, 24.67923542,  0.22665206])]",0.031180620193481445
"[10.0, 10.0, 25.0, 0.3]",[ 8.71783753 11.07599658 15.2048019   0.32944513],239.28,238.20613,"[array([ 8.71783753, 11.07599658, 15.2048019 ,  0.32944513]), array([ 8.39373941, 12.16698583, 17.39766107,  0.33119546]), array([ 9.29009504, 18.9149365 , 23.55060675,  0.28738589]), array([ 9.53595502, 15.64032553, 24.36019613,  0.36467555]), array([ 9.17493824, 11.15537341, 22.38851191,  0.20021731])]",0.028696298599243164
"[10.0, 15.0, 15.0, 0.2]",[10.64407273 12.44290826 15.79427071  0.23945285],263.67,261.95093,"[array([10.64407273, 12.44290826, 15.79427071,  0.23945285]), array([10.61213013, 12.13832711, 16.86982057,  0.22637018]), array([11.40402347, 10.23541298, 21.52871595,  0.34529062]), array([10.85222348, 13.07376631, 21.02455621,  0.33379779]), array([10.44180785, 13.74121695, 19.16055512,  0.32344591])]",0.027308940887451172
"[10.0, 15.0, 15.0, 0.4]",[11.24519134 15.16556574 21.19383194  0.3886787 ],277.71,283.45905,"[array([11.24519134, 15.16556574, 21.19383194,  0.3886787 ]), array([11.93714285, 16.75425814, 16.75040153,  0.38635857]), array([11.44925135, 17.38770917, 16.08867272,  0.3598428 ]), array([10.05350028, 15.21510814, 19.86043335,  0.35578112]), array([10.42695638, 12.33181626, 15.46367606,  0.26422633])]",0.030577421188354492
"[12.0, 10.0, 25.0, 0.4]",[ 9.61426059 13.49839193 19.70999596  0.3263167 ],247.13,246.48007,"[array([ 9.61426059, 13.49839193, 19.70999596,  0.3263167 ]), array([ 9.41345333, 11.13834484, 19.84607856,  0.27825369]), array([10.84641344, 13.70872001, 18.12298486,  0.24261706]), array([ 9.16265595, 15.74726555, 15.41783045,  0.3971677 ]), array([ 9.83224539, 14.75025106, 23.56173363,  0.34002368])]",0.056282758712768555
"[12.0, 20.0, 20.0, 0.2]",[10.3595782  16.39737381 20.11173355  0.2071255 ],307.42,279.16208,"[array([10.3595782 , 16.39737381, 20.11173355,  0.2071255 ]), array([11.8813376 , 15.34198006, 20.70826214,  0.20620611]), array([10.39872079, 17.5088332 , 22.46109493,  0.20521294]), array([11.87363656, 15.85130365, 22.83182871,  0.34963434]), array([11.19635481, 16.58135679, 24.63189532,  0.3399544 ])]",0.04323220252990723
"[12.0, 20.0, 25.0, 0.2]",[10.97644634 19.33334355 21.20186611  0.34369479],321.78,283.45905,"[array([10.97644634, 19.33334355, 21.20186611,  0.34369479]), array([11.41619672, 15.34243413, 21.07549028,  0.35297061]), array([10.92537712, 19.03568226, 22.41398928,  0.21148997]), array([10.07263976, 15.65776813, 24.64624815,  0.38381953]), array([10.32989276, 17.49086754, 22.39633806,  0.27941718])]",0.03139305114746094
"[10.0, 20.0, 15.0, 0.25]",[ 8.85424306 18.8235333  19.59751871  0.3729847 ],235.04,234.91101,"[array([ 8.85424306, 18.8235333 , 19.59751871,  0.3729847 ]), array([ 8.20052654, 16.16176475, 15.36578958,  0.38761391]), array([ 8.09416834, 19.57391892, 22.1440178 ,  0.34950739]), array([ 9.57711998, 19.130524  , 19.35760284,  0.2968886 ]), array([ 8.1474832 , 13.7014049 , 16.21711734,  0.26401893])]",0.03164339065551758
"[10.0, 12.5, 15.0, 0.25]",[11.289595   14.47114189 16.11895701  0.33916521],258.26,260.22736,"[array([11.289595  , 14.47114189, 16.11895701,  0.33916521]), array([11.26222179, 13.35845378, 15.92152711,  0.3547522 ]), array([11.60212759, 15.60983826, 15.4399789 ,  0.23877681]), array([10.05865754, 19.1628085 , 19.3484905 ,  0.23419646]), array([10.32547341, 15.74168437, 18.67220385,  0.23988907])]",0.028841257095336914
"[9.0, 12.5, 22.5, 0.3]",[ 9.94748943 19.20327547 23.02260813  0.24871279],235.75,235.85768,"[array([ 9.94748943, 19.20327547, 23.02260813,  0.24871279]), array([ 9.30290703, 17.25738102, 16.07406249,  0.25528263]), array([ 8.24427747, 18.29954024, 20.09666417,  0.34731351]), array([ 8.79472721, 17.07347108, 17.13283782,  0.32775034]), array([ 8.64870903, 11.49687467, 18.61991609,  0.28642742])]",0.04937458038330078
"[10.0, 10.0, 20.0, 0.4]",[10.4801322  15.56415843 22.1917483   0.20532018],278.34,276.97064,"[array([10.4801322 , 15.56415843, 22.1917483 ,  0.20532018]), array([10.55523154, 18.86018992, 22.17202253,  0.23910589]), array([11.15906429, 15.49088851, 20.42085205,  0.32237997]), array([10.9245359 , 19.00433002, 21.055356  ,  0.28520371]), array([11.57674781, 10.3363867 , 18.01144223,  0.30084247])]",0.03564190864562988
"[10.0, 15.0, 20.0, 0.4]",[11.01078527 17.93792133 22.35936106  0.35058006],282.39,283.00415,"[array([11.01078527, 17.93792133, 22.35936106,  0.35058006]), array([10.80681353, 19.50348522, 20.67258997,  0.38157906]), array([11.85857618, 17.97571982, 22.19228753,  0.22328415]), array([10.13080089, 19.4555319 , 21.37028404,  0.22202618]), array([10.90298541, 18.70308915, 21.41862215,  0.21370234])]",0.028283119201660156
"[10.0, 15.0, 25.0, 0.3]",[11.7205395  18.66433167 22.4201807   0.33700712],278.22,283.00415,"[array([11.7205395 , 18.66433167, 22.4201807 ,  0.33700712]), array([10.29610211, 16.74648549, 21.26496599,  0.37942673]), array([11.56328383, 19.00645384, 22.46000018,  0.39776601]), array([10.34591628, 15.45308804, 15.35073915,  0.30371482]), array([10.48244208, 17.01279985, 15.73493467,  0.34688873])]",0.0307619571685791
"[10.0, 20.0, 15.0, 0.3]",[ 9.45086073 15.70006224 21.04014242  0.30867571],244.04,245.80484,"[array([ 9.45086073, 15.70006224, 21.04014242,  0.30867571]), array([ 9.81777074, 17.67536612, 21.5445394 ,  0.31076611]), array([ 9.50172321, 18.84822686, 20.31181662,  0.32925395]), array([ 9.49378889, 15.57190668, 23.9908681 ,  0.30467796]), array([ 9.10710723, 12.04002767, 18.98465079,  0.23141027])]",0.05018496513366699
"[10.0, 20.0, 20.0, 0.2]",[10.95506082 19.21311687 22.00249405  0.34327095],285.67,283.00415,"[array([10.95506082, 19.21311687, 22.00249405,  0.34327095]), array([10.65410195, 17.41080491, 20.10793859,  0.31633013]), array([11.95794102, 10.23185001, 16.34467148,  0.30152513]), array([10.05234758, 10.15855729, 17.69690758,  0.31457438]), array([10.81105811, 16.30525293, 17.74573646,  0.30038936])]",0.04873538017272949
"[10.0, 20.0, 20.0, 0.4]",[10.69433203 16.22304896 21.77929475  0.39336061],280.62,283.00415,"[array([10.69433203, 16.22304896, 21.77929475,  0.39336061]), array([11.39125825, 18.03633235, 22.23115456,  0.39581636]), array([10.16373137, 10.0742127 , 18.82421332,  0.31256051]), array([11.46200982, 17.29758798, 19.58766935,  0.32031113]), array([11.70724259, 18.15311747, 19.0958159 ,  0.33435774])]",0.10754513740539551
"[12.0, 10.0, 15.0, 0.2]",[11.21321858 19.26494059 20.26720863  0.20671444],286.23,276.97064,"[array([11.21321858, 19.26494059, 20.26720863,  0.20671444]), array([11.83979305, 18.01608979, 21.46151374,  0.24672387]), array([10.95870897, 17.18535263, 21.45559204,  0.28408729]), array([11.51164714, 12.39654808, 17.6362668 ,  0.3453615 ]), array([11.22855848, 19.09183099, 18.67263305,  0.38076189])]",0.04744744300842285
"[12.0, 10.0, 15.0, 0.4]",[10.23540621 16.63015874 22.43711486  0.31762828],293.41,283.00415,"[array([10.23540621, 16.63015874, 22.43711486,  0.31762828]), array([11.84569609, 10.91791094, 19.75999387,  0.30206359]), array([11.43569411, 10.11834975, 16.4881334 ,  0.39351678]), array([11.91266184, 11.71695338, 17.35224101,  0.3658392 ]), array([10.43780036, 16.91912449, 17.23383654,  0.39419221])]",0.04915261268615723
"[12.0, 10.0, 20.0, 0.2]",[11.36445272 17.42157845 19.49878128  0.36995857],271.2,270.60205,"[array([11.36445272, 17.42157845, 19.49878128,  0.36995857]), array([11.92609525, 16.57943742, 18.32345491,  0.30430215]), array([11.02669304, 10.63775157, 17.62973858,  0.31073423]), array([11.93826409, 11.66472202, 15.17628357,  0.34971347]), array([10.92631382, 17.57440449, 22.20137126,  0.25256236])]",0.03568410873413086
"[12.0, 10.0, 20.0, 0.3]",[10.84573811 17.63652804 22.44974911  0.32865661],291.89,283.00415,"[array([10.84573811, 17.63652804, 22.44974911,  0.32865661]), array([10.43021842, 18.95013937, 21.85146736,  0.25477077]), array([10.04715819, 15.64380042, 22.15948846,  0.26031991]), array([11.27132332, 16.19350395, 18.45449781,  0.33446143]), array([10.05825764, 18.85441391, 16.32180227,  0.36362043])]",0.030033588409423828
"[12.0, 10.0, 20.0, 0.4]",[10.35584308 15.93841363 21.20870596  0.367652  ],295.93,283.00415,"[array([10.35584308, 15.93841363, 21.20870596,  0.367652  ]), array([11.54286626, 19.87815131, 21.14129117,  0.25545715]), array([10.27584635, 18.35871761, 22.25667036,  0.26261643]), array([11.30609747, 10.0402857 , 15.47171818,  0.35793461]), array([11.25203369, 12.04504423, 17.10115167,  0.33476231])]",0.02983546257019043
"[12.0, 10.0, 25.0, 0.3]",[ 9.35197178 14.15538624 15.64826434  0.34667148],247.65,244.98824,"[array([ 9.35197178, 14.15538624, 15.64826434,  0.34667148]), array([ 9.18882192, 12.7125935 , 15.25245323,  0.3915413 ]), array([10.81897147, 12.2083114 , 23.4412964 ,  0.27415008]), array([ 9.9704904 , 17.60010835, 19.98062577,  0.39984983]), array([ 9.56429091, 15.50784578, 17.11283792,  0.36874655])]",0.04885578155517578
"[12.0, 15.0, 15.0, 0.4]",[11.40634823 17.69182174 20.02879969  0.21400724],296.79,276.97064,"[array([11.40634823, 17.69182174, 20.02879969,  0.21400724]), array([10.0694542 , 10.55438776, 16.13723688,  0.38015368]), array([10.9228044 , 11.44896395, 15.66019681,  0.37911158]), array([11.34867758, 17.90498136, 17.10135552,  0.34641785]), array([11.5354633 , 16.95217396, 18.76996801,  0.36627993])]",0.03934335708618164
"[12.0, 15.0, 20.0, 0.2]",[10.26096348 17.4692201  21.66928009  0.23463888],297.94,276.97064,"[array([10.26096348, 17.4692201 , 21.66928009,  0.23463888]), array([10.65592503, 15.62886277, 21.91289372,  0.20912768]), array([11.39704228, 15.94808984, 22.49301872,  0.29614783]), array([10.61790963, 11.80228666, 19.53127214,  0.32151326]), array([11.54691048, 10.41290803, 15.93315815,  0.36444414])]",0.03818869590759277
"[12.0, 20.0, 20.0, 0.3]",[11.37298579 19.41857771 21.8353722   0.37557178],327.77,283.00415,"[array([11.37298579, 19.41857771, 21.8353722 ,  0.37557178]), array([10.95492775, 15.44541702, 20.6436789 ,  0.35232108]), array([10.38197018, 19.94923805, 22.12839543,  0.26592943]), array([10.71352111, 11.85572013, 19.82149869,  0.33308642]), array([11.36547308, 18.50729056, 17.15773604,  0.33520256])]",0.03436470031738281
"[10.0, 20.0, 22.5, 0.3]",[11.72118322 16.9382991  21.71447324  0.21372561],300.27,276.97064,"[array([11.72118322, 16.9382991 , 21.71447324,  0.21372561]), array([11.23772897, 18.91851891, 22.45373881,  0.20970125]), array([11.22722497, 17.39726067, 21.84094447,  0.20938291]), array([11.89775771, 18.06658238, 21.01552533,  0.25215439]), array([10.95431073, 10.14933741, 15.04597849,  0.38769627])]",0.04820513725280762
"[10.0, 20.0, 22.5, 0.25]",[10.96012479 12.38596013 15.69215991  0.36589806],272.03,272.24832,"[array([10.96012479, 12.38596013, 15.69215991,  0.36589806]), array([10.84889654, 17.77519927, 21.45482727,  0.25433602]), array([10.66083891, 18.37761958, 20.11624513,  0.29462402]), array([11.00780531, 19.13256648, 20.89713114,  0.27636965]), array([11.82859782, 18.83273865, 17.34512817,  0.35828634])]",0.08190631866455078
"[9.0, 20.0, 22.5, 0.25]",[11.97752484 10.95015869 22.73600294  0.24613317],252.5,248.987,"[array([11.97752484, 10.95015869, 22.73600294,  0.24613317]), array([11.90112295, 10.90592275, 24.77510944,  0.35862738]), array([11.9487977 , 13.59056896, 19.20642969,  0.27629412]), array([11.78742325, 14.39487753, 19.44403874,  0.26459199]), array([ 9.8591897 , 15.33728326, 20.19702987,  0.37552254])]",0.05819129943847656
"[9.0, 12.5, 22.5, 0.25]",[ 8.09407478 10.66473941 15.49773406  0.2434741 ],231.97,231.58456,"[array([ 8.09407478, 10.66473941, 15.49773406,  0.2434741 ]), array([ 8.30235521, 11.9319739 , 15.31028988,  0.23176447]), array([ 8.01068372, 12.80729117, 22.63698993,  0.27534957]), array([ 8.80702574, 12.02911271, 20.25646194,  0.24118948]), array([ 8.43316033, 12.74204874, 20.45802959,  0.24136689])]",0.03564929962158203
"[8.0, 10.0, 15.0, 0.3]",[ 9.39656437 13.76059084 22.9894196   0.24577229],235.5,235.81302,"[array([ 9.39656437, 13.76059084, 22.9894196 ,  0.24577229]), array([ 8.81807958, 10.37783894, 18.60236805,  0.21123863]), array([ 8.6692842 , 11.45802873, 15.31933173,  0.23812296]), array([ 8.55455747, 11.42240984, 21.36572996,  0.30415189]), array([ 8.27744034, 10.95850267, 15.73011333,  0.30945485])]",0.03281116485595703
"[8.0, 10.0, 15.0, 0.4]",[ 9.53907582 10.99689069 17.07773398  0.23975376],252.02,250.98657,"[array([ 9.53907582, 10.99689069, 17.07773398,  0.23975376]), array([ 9.4336924 , 18.72553721, 22.81411297,  0.37010509]), array([ 9.93594116, 18.40136922, 23.85618643,  0.32430456]), array([11.56074668, 11.34618724, 23.85647468,  0.2691473 ]), array([ 9.65783951, 19.88277623, 17.11402072,  0.34117753])]",0.027882099151611328
"[8.0, 15.0, 20.0, 0.4]",[ 9.95735386 13.02123128 21.7035084   0.23096687],242.01,241.62317,"[array([ 9.95735386, 13.02123128, 21.7035084 ,  0.23096687]), array([ 9.26810415, 12.73281367, 20.54745459,  0.2965821 ]), array([ 9.7639687 , 16.18891425, 23.78452012,  0.29370608]), array([ 9.43174179, 18.20746183, 18.76953157,  0.24274161]), array([ 9.03160532, 10.56237244, 21.57510747,  0.23576771])]",0.040068626403808594
"[8.0, 20.0, 15.0, 0.4]",[ 8.30843231 12.942514   23.07983991  0.26263534],206.28,219.17389,"[array([ 8.30843231, 12.942514  , 23.07983991,  0.26263534]), array([ 8.23745111, 13.04301466, 23.36494766,  0.20753891]), array([ 8.24523299, 18.32794304, 22.66352974,  0.24311426]), array([ 8.08194309, 19.02929766, 23.09648676,  0.23111931]), array([ 8.48859734, 19.0083393 , 24.1634362 ,  0.25473872])]",0.05895853042602539
"[8.0, 20.0, 20.0, 0.2]",[ 8.60719871 14.47826139 23.51382098  0.34296801],206.69,220.34634,"[array([ 8.60719871, 14.47826139, 23.51382098,  0.34296801]), array([ 8.9633579 , 13.9537878 , 24.0398231 ,  0.31363078]), array([ 8.8953113 , 19.10289164, 23.73382932,  0.37144005]), array([ 8.78814401, 17.95407919, 24.39688021,  0.34186486]), array([ 8.60801026, 15.04613203, 18.69597157,  0.27557865])]",0.04296374320983887
