,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.03921408653259277,0.036281490325927736,0.03651752471923828,0.04171452522277832,0.04532299041748047,0.05327420234680176,0.04086503982543945,0.03943300247192383,0.03796906471252441,0.09687595367431641,0.13281960487365724,0.06814336776733398,0.05331034660339355,0.04198899269104004,0.03797650337219238,0.03851604461669922,0.04639720916748047,0.04441146850585938,0.058265399932861325,0.05432438850402832
std,0.005303294514620721,0.008797757926277718,0.007107235224008638,0.012265679687325042,0.009246885852554242,0.0316014140007436,0.00669730414534328,0.009273433422154467,0.008533837519094476,0.1257770936369494,0.21305874077760847,0.06901626524996518,0.03432854124025892,0.010517505004502693,0.00726065093893139,0.008758913664309422,0.02075847543121369,0.01310862331898118,0.03689887631848704,
min,0.03281116485595703,0.027882099151611328,0.030701875686645508,0.03100109100341797,0.030270099639892578,0.029053688049316406,0.03203868865966797,0.031081676483154297,0.030997037887573242,0.030033588409423828,0.028696298599243164,0.027308940887451172,0.030577421188354492,0.032032012939453125,0.03136038780212402,0.029537200927734375,0.03164339065551758,0.028841257095336914,0.033863067626953125,0.05432438850402832
25%,0.03564190864562988,0.028283119201660156,0.0307619571685791,0.032572269439697266,0.04296374320983887,0.03357577323913574,0.03710031509399414,0.03326249122619629,0.032282352447509766,0.031180620193481445,0.02983546257019043,0.03331589698791504,0.03101658821105957,0.03383302688598633,0.03291058540344238,0.03139305114746094,0.03202676773071289,0.03205227851867676,0.03564929962158203,0.05432438850402832
50%,0.03903675079345703,0.03430771827697754,0.03380703926086426,0.035855770111083984,0.04873538017272949,0.04485630989074707,0.04026675224304199,0.033766746520996094,0.03568410873413086,0.043637990951538086,0.03979301452636719,0.04047536849975586,0.03934335708618164,0.03818869590759277,0.03436470031738281,0.036196231842041016,0.04018878936767578,0.05044364929199219,0.04937458038330078,0.05432438850402832
75%,0.04239630699157715,0.044365882873535156,0.040068626403808594,0.05018496513366699,0.051988840103149414,0.05134010314941406,0.04744744300842285,0.04915261268615723,0.0386042594909668,0.058605194091796875,0.052197933197021484,0.04885578155517578,0.05310201644897461,0.049608469009399414,0.04323220252990723,0.04724860191345215,0.04622077941894531,0.05252885818481445,0.04949688911437988,0.05432438850402832
max,0.04618430137634277,0.04656863212585449,0.047248125076293945,0.05895853042602539,0.05265688896179199,0.10754513740539551,0.04747200012207031,0.049901485443115234,0.052277565002441406,0.3209223747253418,0.5135753154754639,0.19076085090637207,0.11251235008239746,0.056282758712768555,0.04801464080810547,0.04820513725280762,0.08190631866455078,0.05819129943847656,0.12294316291809082,0.05432438850402832
