test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
10,297.65,298.33868408203125,0.5918004500875979,297.6038667690367,299.0735013950258,"[297.6903991699219, 297.6903991699219, 298.7708740234375, 298.7708740234375, 298.7708740234375]",[12.         14.81353317 22.27985768  0.35333612],"[array([12.        , 18.07510241, 24.89748144,  0.34729398]), array([12.        , 19.92754709, 23.26800585,  0.38358416]), array([12.        , 16.78896668, 23.18098506,  0.36748625]), array([12.        , 17.64480733, 23.96486046,  0.38410549]), array([12.        , 19.27834528, 24.68485571,  0.35524377])]","[0.214508056640625, 0.19312405586242676, 0.16797804832458496, 0.2199850082397461, 0.18757891654968262]","[0.001632586121559143, 0.001632586121559143, 1.2563722133636475, 1.2563722133636475, 1.2563722133636475]","[167.61948852539064, 91.0708680152893, 14.316904306411743, 7.535690334439278, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.7544763624668122, 0.6290023997426033, 0.6290023997426033, 0.6290023997426033]",12.0,15.0,15.0,0.3
11,256.11,255.86544799804688,0.0,255.86544799804688,255.86544799804688,"[255.86544799804688, 255.86544799804688, 255.86544799804688, 255.86544799804688, 255.86544799804688]",[10.72448097 11.50687824 23.38826178  0.22704068],"[array([10.62749716, 12.10171291, 23.98058894,  0.21268117]), array([10.9355716 , 12.40595573, 24.13816339,  0.21756358]), array([10.82245634, 12.28625893, 24.12488537,  0.2       ]), array([10.61534645, 12.35947562, 23.75120711,  0.23068171]), array([10.62749716, 12.10171291, 23.98058894,  0.21268117])]","[0.26891303062438965, 0.17099380493164062, 0.16856694221496582, 0.15412616729736328, 0.1559000015258789]","[0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318]","[1.8494678407907486, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 1.5708642303943634, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318, 0.05979851633310318]",10.0,10.0,20.0,0.2
12,196.63,196.7869903564453,0.39879878656729145,196.29181626063735,197.28216445225326,"[197.07823181152344, 197.07823181152344, 196.35012817382812, 196.35012817382812, 197.07823181152344]",[ 8.         20.         16.51012297  0.30355535],"[array([ 8.16261241, 12.47798458, 25.        ,  0.22716967]), array([ 8.71922427, 10.1234095 , 25.        ,  0.23046399]), array([ 8.        , 12.43643602, 25.        ,  0.2       ]), array([ 8.54160324, 12.42458259, 25.        ,  0.22698887]), array([ 8. , 10. , 25. ,  0.2])]","[0.16576004028320312, 0.1818530559539795, 0.1739492416381836, 0.17934894561767578, 0.19922995567321777]","[0.2009073793888092, 0.2009073793888092, 0.07833097130060196, 0.07833097130060196, 0.2009073793888092]","[324.60070061683655, 9.275029718875885, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.1518768161535263, 0.11918977399667104]",8.0,20.0,15.0,0.2
13,232.08,232.1992218017578,1.2588916450996233,230.63610136839807,233.76234223511753,"[232.68072509765625, 232.68072509765625, 232.9936065673828, 229.9603271484375, 232.68072509765625]",[ 8.30132105 10.04608121 22.43835029  0.22685136],"[array([ 8.45418946, 12.17984847, 21.51029116,  0.21735209]), array([ 8.78842402, 11.64256416, 22.47000775,  0.23210702]), array([ 8.56008747, 11.11169573, 21.11848136,  0.2014012 ]), array([ 8.70206519, 12.20735771, 21.87267089,  0.23594091]), array([ 8.46872277, 11.79261692, 21.19914192,  0.235913  ])]","[0.157822847366333, 0.17293405532836914, 0.20700311660766602, 0.16000890731811523, 0.16292810440063477]","[0.3608684539794922, 0.3608684539794922, 0.8346736431121826, 4.493020534515381, 0.3608684539794922]","[2.696914529800415, 2.2468254566192627, 1.292391562461853, 1.292391562461853, 1.292391562461853, 1.292391562461853, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.282059907913208, 1.512357771396637, 0.5977710485458374, 0.5977710485458374, 0.8346736431121826, 0.8346736431121826, 0.8346736431121826, 0.8346736431121826]",8.0,10.0,20.0,0.3
14,264.86,264.8450012207031,0.0,264.8450012207031,264.8450012207031,"[264.8450012207031, 264.8450012207031, 264.8450012207031, 264.8450012207031, 264.8450012207031]",[10.96691804 13.73194998 16.77069832  0.35320163],"[array([10.25870089, 13.59200497, 18.93450527,  0.30888041]), array([11.70636668, 13.05476892, 15.45879344,  0.36258571]), array([10.29768932, 12.94955192, 16.85417   ,  0.30027591]), array([10.64860792, 13.6081511 , 19.88111547,  0.32784884]), array([10.04390068, 13.43543971, 17.57078068,  0.30895686])]","[0.15325689315795898, 0.1654360294342041, 0.18348908424377441, 0.1545569896697998, 0.15391993522644043]","[0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418]","[0.2589247651398182, 0.2589247651398182, 0.2589247651398182, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418, 0.00022452417761087418]",10.0,10.0,20.0,0.3
15,231.34,230.8589630126953,1.2753025829799327,229.27546570859286,232.44246031679776,"[229.9603271484375, 231.7331085205078, 229.9603271484375, 229.9603271484375, 232.68072509765625]",[10.01740973 11.79526793 25.          0.29077427],"[array([ 8.        , 10.79847593, 21.27694854,  0.23404604]), array([ 8.99379897, 11.99941055, 22.27135814,  0.24379749]), array([ 8.        , 10.        , 20.99881918,  0.21845732]), array([ 8.        , 11.3286853 , 22.14299291,  0.23231087]), array([ 8.        , 10.98881351, 21.12478328,  0.24608835])]","[0.19193220138549805, 0.1664872169494629, 0.15747404098510742, 0.16295480728149414, 0.18259596824645996]","[1.9034870862960815, 0.15453718602657318, 1.9034870862960815, 1.9034870862960815, 1.7975536584854126]","[2.069675016403198, 1.5536971062421798, 1.5536971062421798, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.5325104206800462, 1.285192643602689, 0.9760454222559929, 1.7975536584854126, 1.7975536584854126]",8.0,20.0,25.0,0.4
16,219.76,219.4948303222656,0.6347564042228607,218.7066761475128,220.28298449701842,"[219.85464477539062, 219.85464477539062, 219.52108764648438, 219.85464477539062, 218.38912963867188]",[ 8.73524039 13.16868009 22.94317643  0.31969858],"[array([ 8.        , 20.        , 24.17046317,  0.23384817]), array([ 8.        , 20.        , 23.52434568,  0.23489307]), array([ 8.        , 20.        , 24.46102425,  0.21890002]), array([ 8.        , 20.        , 24.30994508,  0.23757579]), array([ 8.        , 20.        , 23.46719991,  0.24089794])]","[0.1539299488067627, 0.15789103507995605, 0.16675472259521484, 0.1602180004119873, 0.1746361255645752]","[0.008958673104643822, 0.008958673104643822, 0.05707648769021034, 0.008958673104643822, 1.8792704343795776]","[0.8316920373588801, 0.42994891814887526, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.39264458827674387, 0.6484351983914772, 0.968173461034894, 1.8792704343795776]",8.0,15.0,20.0,0.2
17,224.38,224.63961791992188,0.410418679943498,224.13001582084573,225.14922001899802,"[224.5705108642578, 224.5705108642578, 225.3080596923828, 224.17849731445312, 224.5705108642578]",[ 8.17707624 13.90386068 19.62977389  0.22659832],"[array([ 8.70853363, 14.98494078, 17.41349081,  0.21460548]), array([ 8.74581438, 13.93391043, 18.00286584,  0.2157573 ]), array([ 8.66923329, 14.13443428, 19.23661744,  0.21458777]), array([ 8.70853363, 14.98494078, 17.41349081,  0.21460548]), array([ 8.73777902, 14.71662423, 18.61792528,  0.24994251])]","[0.163222074508667, 0.2093052864074707, 0.15763020515441895, 0.23315906524658203, 0.1559138298034668]","[0.036292530596256256, 0.036292530596256256, 0.8612857460975647, 0.040605299174785614, 0.036292530596256256]","[0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.3583291992545128, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.20215372741222382, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614, 0.040605299174785614]",8.0,20.0,20.0,0.3
18,306.28,308.4649963378906,0.0,308.4649963378906,308.4649963378906,"[308.4649963378906, 308.4649963378906, 308.4649963378906, 308.4649963378906, 308.4649963378906]",[12.         17.20798897 21.56820804  0.33219885],"[array([12.        , 16.79953688, 21.78801597,  0.3255264 ]), array([12.        , 19.21144413, 21.83210455,  0.32394674]), array([12.        , 16.0207711 , 22.32887552,  0.33088449]), array([12.        , 19.42753688, 22.05465763,  0.3780864 ]), array([12.        , 17.10938225, 21.41771613,  0.31344605])]","[0.17280101776123047, 0.17497611045837402, 0.16781115531921387, 0.17373180389404297, 0.17091727256774902]","[4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713]","[440.8391967773438, 109.1954047203064, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713, 4.774214267730713]",10.0,20.0,25.0,0.4
19,247.57,248.2073516845703,0.0,248.2073516845703,248.2073516845703,"[248.2073516845703, 248.2073516845703, 248.2073516845703, 248.2073516845703, 248.2073516845703]",[ 9.4456525  17.70747937 21.98753344  0.22828586],"[array([ 9.44544291, 16.59287744, 21.27245597,  0.23995442]), array([ 9.88362664, 17.06487779, 21.85097324,  0.24293698]), array([ 9.76601475, 16.72997984, 20.84920775,  0.24110272]), array([ 9.42931845, 16.86414534, 22.05620489,  0.23879192]), array([ 9.16407736, 16.33894632, 20.23909777,  0.22668633])]","[0.1531357765197754, 0.16843605041503906, 0.18906593322753906, 0.16405606269836426, 0.15950274467468262]","[0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214]","[0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214, 0.4062078297138214]",9.0,12.5,15.0,0.3
