,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,1.253458833694458,1.3625531196594238,1.2192664623260498,1.391272211074829,1.3010079383850097,1.3504170417785644,1.2155578136444092,1.2384288787841797,1.3087932586669921,1.484937858581543,1.2598771095275878,1.3847548484802246,1.4475441455841065,1.4277188777923584,1.282736873626709,1.2835708141326905,1.2493700981140137,1.2392872810363769,1.1876090526580811,1.093611240386963
std,0.15927177921731803,0.3342544984407319,0.020220641120682403,0.2567957480957284,0.1752845355658903,0.33182891716237595,0.08747058096036352,0.10892812703011912,0.109309873263318,0.3367752357098094,0.12712891204711302,0.17397251056365268,0.29628369251142017,0.28950979831300305,0.22959082028512934,0.08190650089181684,0.037295479889306316,0.06313551436975984,0.05763723564500242,
min,1.0624024868011475,1.0829858779907227,1.1853082180023193,1.1066880226135254,1.0852434635162354,1.0953783988952637,1.1003975868225098,1.0962157249450684,1.2106139659881592,1.1181120872497559,1.0989232063293457,1.2220134735107422,1.214174509048462,1.161073923110962,1.1081244945526123,1.19425630569458,1.1937861442565918,1.1335442066192627,1.0885264873504639,1.093611240386963
25%,1.2025811672210693,1.1993513107299805,1.2161824703216553,1.2338204383850098,1.2331433296203613,1.1988270282745361,1.1841521263122559,1.2219798564910889,1.2218329906463623,1.2305748462677002,1.1924548149108887,1.2366845607757568,1.2665326595306396,1.211045742034912,1.1568596363067627,1.21657395362854,1.2293000221252441,1.2309153079986572,1.1871435642242432,1.093611240386963
50%,1.220008134841919,1.2787609100341797,1.2284390926361084,1.3028786182403564,1.2521607875823975,1.2603731155395508,1.2011780738830566,1.2254528999328613,1.2825956344604492,1.4396600723266602,1.2346882820129395,1.3376450538635254,1.3730595111846924,1.317373514175415,1.2258179187774658,1.283984661102295,1.2687857151031494,1.263554573059082,1.213379144668579,1.093611240386963
75%,1.2831196784973145,1.3124194145202637,1.2327954769134521,1.58754563331604,1.3833339214324951,1.266362190246582,1.2560451030731201,1.2465691566467285,1.3529179096221924,1.6951475143432617,1.360079288482666,1.5072224140167236,1.4284749031066895,1.6045033931732178,1.2407569885253906,1.3282265663146973,1.2699699401855469,1.2784028053283691,1.2179811000823975,1.093611240386963
max,1.4991827011108398,1.9392480850219727,1.2336070537567139,1.7254283428192139,1.5511581897735596,1.9311444759368896,1.3360161781311035,1.4019267559051514,1.4760057926177979,1.941194772720337,1.4132399559020996,1.620208740234375,1.9554791450500488,1.8445978164672852,1.6821253299713135,1.3948125839233398,1.2850086688995361,1.2900195121765137,1.2310149669647217,1.093611240386963
