36/192: MAE = 1.6756 ± 1.0264, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
37/192: MAE = 5.9416 ± 3.2636, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
38/192: MAE = 3.2341 ± 2.4095, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
39/192: MAE = 1.4690 ± 0.7941, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
40/192: MAE = 6.0575 ± 2.2853, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
41/192: MAE = 2.8059 ± 1.4357, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
42/192: MAE = 1.7988 ± 0.8754, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
43/192: MAE = 5.7975 ± 1.6791, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
44/192: MAE = 3.5087 ± 2.0410, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
45/192: MAE = 1.3064 ± 0.8074, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
46/192: MAE = 6.1114 ± 2.8668, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
47/192: MAE = 2.9436 ± 1.5659, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
48/192: MAE = 1.6287 ± 1.0647, params = {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
49/192: MAE = 6.1668 ± 3.0653, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
50/192: MAE = 2.7589 ± 2.3528, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
51/192: MAE = 1.8297 ± 1.2038, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
52/192: MAE = 5.3494 ± 2.8065, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
53/192: MAE = 3.0064 ± 2.8089, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
54/192: MAE = 1.8689 ± 0.9291, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
55/192: MAE = 6.0593 ± 2.6708, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
56/192: MAE = 3.3309 ± 2.0487, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
57/192: MAE = 1.3940 ± 0.8149, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
58/192: MAE = 5.3085 ± 2.3704, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
59/192: MAE = 3.3630 ± 2.1623, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
60/192: MAE = 1.6079 ± 0.9953, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
61/192: MAE = 4.7830 ± 2.5264, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
62/192: MAE = 3.1217 ± 1.7109, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
63/192: MAE = 1.4945 ± 0.8198, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
64/192: MAE = 6.1242 ± 3.3001, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
65/192: MAE = 3.6349 ± 1.9284, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
66/192: MAE = 1.4324 ± 0.8508, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
67/192: MAE = 5.2471 ± 3.2053, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
68/192: MAE = 3.3265 ± 2.4013, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
69/192: MAE = 1.3227 ± 0.8024, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
70/192: MAE = 5.7165 ± 2.7654, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
71/192: MAE = 2.8924 ± 1.7857, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
72/192: MAE = 1.2478 ± 0.7590, params = {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
73/192: MAE = 5.5771 ± 2.9353, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
74/192: MAE = 2.4555 ± 1.4565, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
75/192: MAE = 1.5718 ± 1.0271, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
76/192: MAE = 5.4982 ± 3.0487, params = {'n_particles': 30, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
