=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

27/192 | MAE: 1.009 ± 3.204 | RMSE: 1.009 ± 3.204 | R²: 0.989 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
28/192 | MAE: 4.981 ± 8.126 | RMSE: 4.981 ± 8.126 | R²: 0.915 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
29/192 | MAE: 2.392 ± 4.930 | RMSE: 2.392 ± 4.930 | R²: 0.972 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
30/192 | MAE: 0.754 ± 0.932 | RMSE: 0.754 ± 0.932 | R²: 0.999 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
31/192 | MAE: 3.857 ± 6.627 | RMSE: 3.857 ± 6.627 | R²: 0.945 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
32/192 | MAE: 2.222 ± 5.519 | RMSE: 2.222 ± 5.519 | R²: 0.967 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
33/192 | MAE: 0.894 ± 1.480 | RMSE: 0.894 ± 1.480 | R²: 0.997 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
34/192 | MAE: 3.746 ± 6.520 | RMSE: 3.746 ± 6.520 | R²: 0.947 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
35/192 | MAE: 1.972 ± 5.268 | RMSE: 1.972 ± 5.268 | R²: 0.970 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
36/192 | MAE: 0.920 ± 1.317 | RMSE: 0.920 ± 1.317 | R²: 0.998 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
37/192 | MAE: 3.464 ± 5.842 | RMSE: 3.464 ± 5.842 | R²: 0.957 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
38/192 | MAE: 1.067 ± 1.114 | RMSE: 1.067 ± 1.114 | R²: 0.998 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
39/192 | MAE: 0.789 ± 1.152 | RMSE: 0.789 ± 1.152 | R²: 0.998 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
40/192 | MAE: 4.276 ± 7.249 | RMSE: 4.276 ± 7.249 | R²: 0.934 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
41/192 | MAE: 2.264 ± 5.205 | RMSE: 2.264 ± 5.205 | R²: 0.970 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
42/192 | MAE: 0.848 ± 1.088 | RMSE: 0.848 ± 1.088 | R²: 0.998 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
43/192 | MAE: 4.663 ± 7.994 | RMSE: 4.663 ± 7.994 | R²: 0.920 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
44/192 | MAE: 2.177 ± 5.637 | RMSE: 2.177 ± 5.637 | R²: 0.966 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
45/192 | MAE: 1.181 ± 2.828 | RMSE: 1.181 ± 2.828 | R²: 0.991 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
46/192 | MAE: 3.994 ± 7.888 | RMSE: 3.994 ± 7.888 | R²: 0.927 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
47/192 | MAE: 1.808 ± 4.698 | RMSE: 1.808 ± 4.698 | R²: 0.976 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
48/192 | MAE: 0.883 ± 1.306 | RMSE: 0.883 ± 1.306 | R²: 0.998 | params: {'n_particles': 20, 'w_max': 0.9, 'w_min': 0.4, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
49/192 | MAE: 4.287 ± 7.950 | RMSE: 4.287 ± 7.950 | R²: 0.924 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
50/192 | MAE: 1.679 ± 4.025 | RMSE: 1.679 ± 4.025 | R²: 0.982 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
51/192 | MAE: 1.276 ± 3.553 | RMSE: 1.276 ± 3.553 | R²: 0.987 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
52/192 | MAE: 4.165 ± 8.082 | RMSE: 4.165 ± 8.082 | R²: 0.923 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
53/192 | MAE: 1.641 ± 4.096 | RMSE: 1.641 ± 4.096 | R²: 0.982 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
54/192 | MAE: 1.307 ± 3.919 | RMSE: 1.307 ± 3.919 | R²: 0.984 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
55/192 | MAE: 3.648 ± 6.775 | RMSE: 3.648 ± 6.775 | R²: 0.945 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
56/192 | MAE: 1.609 ± 3.414 | RMSE: 1.609 ± 3.414 | R²: 0.987 | params: {'n_particles': 30, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
