replica_1_sec,replica_2_sec,replica_3_sec,replica_4_sec,replica_5_sec
0.09520959854125977,0.06537938117980957,0.08179950714111328,0.07482147216796875,0.06820940971374512
0.07320690155029297,0.06951189041137695,0.06543469429016113,0.06277060508728027,0.0846858024597168
0.06841135025024414,0.06043744087219238,0.06594538688659668,0.11030864715576172,0.06557154655456543
0.09802532196044922,0.07686328887939453,0.06679630279541016,0.06828832626342773,0.07800722122192383
0.05838775634765625,0.17685389518737793,0.07100129127502441,0.11210179328918457,0.07759690284729004
0.06371569633483887,0.0623774528503418,0.059197187423706055,0.11310744285583496,0.06133008003234863
0.06158804893493652,0.06815838813781738,0.10884785652160645,0.06074857711791992,0.06208038330078125
0.06360220909118652,0.10664796829223633,0.07507944107055664,0.07636666297912598,0.09866762161254883
0.084991455078125,0.07503366470336914,0.08367156982421875,0.14503860473632812,0.06816983222961426
0.13844513893127441,0.24262785911560059,0.14551305770874023,0.12598776817321777,0.11036205291748047
0.19587922096252441,0.10826349258422852,0.12184309959411621,0.1269998550415039,0.16231584548950195
0.12197661399841309,0.17777585983276367,0.1615433692932129,0.11916327476501465,0.12292933464050293
0.14685940742492676,0.12667012214660645,0.32700252532958984,0.18672823905944824,0.40813636779785156
0.16646647453308105,0.24521160125732422,0.6846058368682861,0.5958590507507324,0.14284324645996094
0.635582685470581,0.1258397102355957,0.3586704730987549,0.387249231338501,0.2592892646789551
0.8784761428833008,0.4062175750732422,0.2730891704559326,1.170180082321167,0.6463122367858887
0.2089991569519043,0.18648386001586914,0.08551383018493652,0.06746697425842285,0.0798795223236084
0.08838391304016113,0.07895851135253906,0.06640267372131348,0.07596063613891602,0.07137489318847656
0.06289029121398926,0.06291985511779785,0.09752130508422852,0.12302899360656738,0.07371234893798828
0.08758234977722168,0.08712506294250488,0.05986666679382324,0.057457685470581055,0.0687713623046875
