test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[10.90382272 18.9711026  23.87086424  0.35597511],"[array([11.63850728, 16.69200263, 23.29286799,  0.37579578]), array([11.63850728, 16.69200263, 23.29286799,  0.37579578]), array([11.58186041, 15.9893879 , 22.78475586,  0.39856337]), array([10.67810072, 17.31036311, 24.55060511,  0.36423966]), array([11.65314779, 16.12573468, 23.73698593,  0.34479461])]","[0.031510114669799805, 0.021938800811767578, 0.02357792854309082, 0.02454519271850586, 0.02338099479675293]","[3360.5939290100323, 3360.5939290100323, 3360.5939290100323, 3360.5939290100323, 3360.5939290100323]","[3415.9686119167864, 3360.5939290100323]",12.0,20.0,25.0,0.4
1,337.88,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[11.12539536 19.60167785 22.63579069  0.3710414 ],"[array([11.02771064, 16.8912109 , 23.63641052,  0.39936184]), array([10.89878502, 18.36415597, 23.62489622,  0.34489687]), array([10.49655201, 15.66625913, 23.0581488 ,  0.36341853]), array([10.46341301, 19.93265196, 23.68557028,  0.31292797]), array([11.01945964, 17.75966062, 23.15558701,  0.30656541])]","[0.02377796173095703, 0.023357868194580078, 0.023524999618530273, 0.025903940200805664, 0.026320934295654297]","[2851.627271881127, 2851.627271881127, 2851.627271881127, 2851.627271881127, 2851.627271881127]","[2902.722991042764, 2851.627271881127]",12.0,20.0,20.0,0.4
2,278.4,280.54364013671875,0.0,280.54364013671875,280.54364013671875,"[280.54364013671875, 280.54364013671875, 280.54364013671875, 280.54364013671875, 280.54364013671875]",[11.04851848 19.36176564 24.40750859  0.23495626],"[array([10.75332305, 16.04130629, 24.35815624,  0.24680106]), array([10.75332305, 16.04130629, 24.35815624,  0.24680106]), array([10.59464403, 15.44247305, 23.59547298,  0.24516602]), array([10.34008238, 19.84441954, 21.80591036,  0.27605699]), array([10.1196787 , 16.86913276, 20.96519604,  0.29253466])]","[0.02624678611755371, 0.02628302574157715, 0.024097681045532227, 0.024345874786376953, 0.023694753646850586]","[4.595193035751679, 4.595193035751679, 4.595193035751679, 4.595193035751679, 4.595193035751679]","[5.5803873299435285, 4.595193035751679]",12.0,20.0,15.0,0.3
3,260.71,260.26072387695314,0.5329086078944963,259.59903044419764,260.92241730970864,"[261.2140197753906, 260.02239990234375, 260.02239990234375, 260.02239990234375, 260.02239990234375]",[10.35081291 10.64043524 23.6243413   0.39229994],"[array([11.802851  , 15.97795833, 15.14868974,  0.27057547]), array([11.802851  , 15.97795833, 15.14868974,  0.27057547]), array([10.51060769, 19.24633678, 15.50526366,  0.27336182]), array([10.92541589, 15.24449394, 19.01284008,  0.28657171]), array([10.65333576, 17.17670654, 18.54036803,  0.28307195])]","[0.02390766143798828, 0.023617982864379883, 0.026359081268310547, 0.02619481086730957, 0.02329087257385254]","[0.2540359339848367, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564]","[0.4290423022344525, 0.4290423022344525]",10.0,12.5,22.5,0.25
4,228.21,227.94275817871093,0.7884923787357963,226.96371557917664,228.92180077824523,"[227.5901336669922, 229.35325622558594, 227.5901336669922, 227.5901336669922, 227.5901336669922]",[ 8.66214117 14.0273237  18.43430588  0.28018054],"[array([ 8.73773402, 14.92165506, 18.38485859,  0.29101793]), array([ 8.73292287, 12.98845815, 18.4099559 ,  0.29324048]), array([ 8.73773402, 14.92165506, 18.38485859,  0.29101793]), array([ 8.67238979, 13.61016331, 16.30586358,  0.26897726]), array([ 8.58995249, 13.17555613, 20.23485863,  0.27536148])]","[0.026908159255981445, 0.034198760986328125, 0.024357080459594727, 0.04451107978820801, 0.024787187576293945]","[0.3842342707965622, 1.3070347973409857, 0.3842342707965622, 0.3842342707965622, 0.3842342707965622]","[0.9994830779194805, 0.713291969031467, 0.845634534068774, 0.3842342707965622]",10.0,10.0,25.0,0.2
5,334.54,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[11.99783627 17.10141883 22.61681356  0.387673  ],"[array([11.08164655, 18.65965954, 24.4473679 ,  0.33289539]), array([10.63936755, 16.63847438, 22.89018595,  0.33740325]), array([10.11751836, 18.35088258, 23.48859863,  0.30550781]), array([11.23791434, 17.70065568, 23.46286163,  0.30957176]), array([10.62033972, 18.36134869, 22.66475395,  0.33049988])]","[0.024957895278930664, 0.055536746978759766, 0.023279190063476562, 0.023588895797729492, 0.023097991943359375]","[2506.066664263942, 2506.066664263942, 2506.066664263942, 2506.066664263942, 2506.066664263942]","[2554.035088259564, 2506.066664263942]",12.0,20.0,25.0,0.3
6,272.24,271.87738037109375,0.0,271.87738037109375,271.87738037109375,"[271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375]",[11.88426333 11.27602308 16.75077945  0.23344676],"[array([11.6048143 , 10.70109793, 17.68613193,  0.23090788]), array([10.03323547, 12.17408137, 16.7405033 ,  0.23496158]), array([11.26904273, 10.74328897, 15.42841024,  0.24101025]), array([11.6048143 , 10.70109793, 17.68613193,  0.23090788]), array([11.3871984 , 10.57852491, 15.06393752,  0.23168543])]","[0.023511171340942383, 0.024477005004882812, 0.022588014602661133, 0.024313926696777344, 0.023455142974853516]","[0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306]","[0.13149299526811306, 0.13149299526811306]",12.0,15.0,25.0,0.2
7,249.42,249.47296142578125,0.4246877764273053,248.94564190331425,250.00028094824825,"[249.6628875732422, 248.7132568359375, 249.6628875732422, 249.6628875732422, 249.6628875732422]",[ 9.6599463  11.93711306 17.98504957  0.28743328],"[array([ 9.36121928, 11.0352853 , 16.8364385 ,  0.26914054]), array([ 9.12916856, 11.27045063, 16.92471014,  0.28090696]), array([ 9.36121928, 11.0352853 , 16.8364385 ,  0.26914054]), array([ 9.59745836, 11.15216561, 19.85388299,  0.25023979]), array([ 9.22391702, 11.16090455, 18.48897601,  0.26395041])]","[0.020905017852783203, 0.023734092712402344, 0.022854089736938477, 0.02376699447631836, 0.022922039031982422]","[0.05899437323548507, 0.4994858999490561, 0.05899437323548507, 0.05899437323548507, 0.05899437323548507]","[0.32328928926362777, 0.14709267857819927]",10.0,15.0,25.0,0.2
8,232.62,233.8252197265625,1.1522152990541783,232.39455547154733,235.25588398157765,"[232.9936065673828, 234.8240966796875, 235.32118225097656, 232.9936065673828, 232.9936065673828]",[ 9.82493259 14.629516   24.44580395  0.26404192],"[array([ 9.44166341, 14.43835825, 23.26542656,  0.26778544]), array([ 9.44166341, 14.43835825, 23.26542656,  0.26778544]), array([ 9.1356182 , 13.92220229, 23.24922544,  0.25714584]), array([ 9.36555889, 14.05216838, 22.8933615 ,  0.26545784]), array([ 8.874104  , 16.23562222, 20.44619421,  0.32592514])]","[0.02416825294494629, 0.02284097671508789, 0.024505138397216797, 0.025413990020751953, 0.021818161010742188]","[0.13958186719156462, 4.858042173409442, 7.296385552990785, 0.13958186719156462, 0.13958186719156462]","[3.4344718794576785, 2.514634665594984]",8.0,10.0,15.0,0.2
9,238.63,238.78643188476562,0.5682088387526703,238.08090742622525,239.491956343306,"[239.04054260253906, 239.04054260253906, 239.04054260253906, 239.04054260253906, 237.76998901367188]",[ 8.41061188 10.01183694 17.06460176  0.28226739],"[array([ 9.36813536, 11.33936699, 23.35510155,  0.37606855]), array([ 9.36813536, 11.33936699, 23.35510155,  0.37606855]), array([ 9.69790601, 12.06020265, 23.67438726,  0.30899749]), array([ 9.47175445, 11.88946573, 23.79786178,  0.33104886]), array([ 8.90308905, 11.19975308, 17.02698908,  0.23391449])]","[0.022648096084594727, 0.023209095001220703, 0.023650169372558594, 0.023329734802246094, 0.02562689781188965]","[0.1685452284995504, 0.1685452284995504, 0.1685452284995504, 0.1685452284995504, 0.7396188966050666]","[0.28275996212065363, 0.28275996212065363]",8.0,15.0,15.0,0.3
