,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.05012083053588867,0.09053707122802734,0.03889760971069336,0.05727510452270508,0.025915908813476562,0.026471805572509766,0.025580692291259765,0.054170083999633786,0.034308862686157224,0.034203100204467776,0.06968183517456054,0.032772159576416014,0.026171493530273437,0.044447708129882815,0.12400493621826172,0.07254390716552735,0.2066953659057617,0.2522749900817871,0.1884751319885254,0.03356027603149414
std,0.016673481033423337,0.12455460371539852,0.0146524029437906,0.04139969256315857,0.004413294165625643,0.005360197959480685,0.005009114848028198,0.056115856665770694,0.012447368742226565,0.013613335603700842,0.05992003160886857,0.01269412220342713,0.005227451533405037,0.0415443933849293,0.21355162256044025,0.08117416099913677,0.2954481772175541,0.3005894710196384,0.23228641755078136,
min,0.03419613838195801,0.021527767181396484,0.0236814022064209,0.022168874740600586,0.021114349365234375,0.018340110778808594,0.020946741104125977,0.020961523056030273,0.022224903106689453,0.018199443817138672,0.027138710021972656,0.021270751953125,0.01920628547668457,0.023279428482055664,0.020767688751220703,0.028534889221191406,0.02268218994140625,0.028493404388427734,0.020136594772338867,0.03356027603149414
25%,0.0346217155456543,0.03217887878417969,0.02820277214050293,0.02351665496826172,0.02338552474975586,0.02379465103149414,0.022052764892578125,0.021369218826293945,0.02692246437072754,0.024700641632080078,0.029343843460083008,0.02480030059814453,0.023229598999023438,0.024259567260742188,0.02260446548461914,0.0314638614654541,0.028465747833251953,0.03097224235534668,0.029560089111328125,0.03356027603149414
50%,0.04977154731750488,0.03910708427429199,0.03945136070251465,0.04012584686279297,0.025402545928955078,0.029109716415405273,0.023404598236083984,0.02202630043029785,0.03315424919128418,0.03262162208557129,0.03283047676086426,0.028155088424682617,0.026665449142456055,0.02515721321105957,0.03433942794799805,0.04020977020263672,0.03423047065734863,0.08823680877685547,0.030533313751220703,0.03356027603149414
75%,0.058480262756347656,0.04716134071350098,0.041802406311035156,0.08462381362915039,0.026887893676757812,0.029752731323242188,0.028715848922729492,0.05546069145202637,0.03449368476867676,0.04417562484741211,0.09491705894470215,0.03653359413146973,0.028930187225341797,0.03097081184387207,0.03649711608886719,0.04525256156921387,0.23864364624023438,0.3988182544708252,0.332120418548584,0.03356027603149414
max,0.07353448867797852,0.3127102851867676,0.061350107192993164,0.11594033241271973,0.03278923034667969,0.03136181831359863,0.03278350830078125,0.1510326862335205,0.0547490119934082,0.05131816864013672,0.16417908668518066,0.0531010627746582,0.03282594680786133,0.11857151985168457,0.5058159828186035,0.21725845336914062,0.7094547748565674,0.7148542404174805,0.5300252437591553,0.03356027603149414
