35/162: MAE = 16.2628 ± 21.4688, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
36/162: MAE = 18.9485 ± 22.0718, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
37/162: MAE = 7.4005 ± 10.8686, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
38/162: MAE = 8.1862 ± 15.9851, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
39/162: MAE = 8.0229 ± 13.8375, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
40/162: MAE = 7.4841 ± 12.6053, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
41/162: MAE = 7.2752 ± 13.2616, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
42/162: MAE = 7.9505 ± 13.5443, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
43/162: MAE = 10.6362 ± 17.8804, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
44/162: MAE = 10.7868 ± 17.2156, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
45/162: MAE = 11.7373 ± 18.3433, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
46/162: MAE = 10.4631 ± 16.6204, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
47/162: MAE = 9.1284 ± 16.9753, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
48/162: MAE = 11.3541 ± 18.7516, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
49/162: MAE = 14.5260 ± 21.7453, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
50/162: MAE = 18.2098 ± 22.7476, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
51/162: MAE = 16.2802 ± 19.9696, params = {'n_init': 5, 'n_iter': 70, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
