,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.08719401359558106,0.08827495574951172,0.16729655265808105,0.3472879886627197,0.10300593376159668,0.09914703369140625,0.1099738597869873,0.1114156723022461,0.09612312316894531,0.10158166885375977,0.11868958473205567,0.0778071403503418,0.1304903507232666,0.25183520317077634,0.10744309425354004,0.12438302040100098,0.10114789009094238,0.10121183395385742,0.13683023452758789,0.06833362579345703
std,0.012512694474173587,0.051517982475668515,0.08269151948407188,0.582427965476733,0.053063826074598155,0.04253159796277865,0.021154495581117188,0.05019260345047679,0.05041217442077373,0.02887019635404124,0.06059157276441828,0.024684573424254525,0.07273336296664817,0.238292138244738,0.02405967227305956,0.06861397656436649,0.02549131139041603,0.04858239257163219,0.052388811243899776,
min,0.07694411277770996,0.06157541275024414,0.09565925598144531,0.05942893028259277,0.07133936882019043,0.058539628982543945,0.07334041595458984,0.057796478271484375,0.06272339820861816,0.058211326599121094,0.05720257759094238,0.060860633850097656,0.06971526145935059,0.06209731101989746,0.08669257164001465,0.06202578544616699,0.07051753997802734,0.06729602813720703,0.0700082778930664,0.06833362579345703
25%,0.0825803279876709,0.062494754791259766,0.11017680168151855,0.06496667861938477,0.0720210075378418,0.07358312606811523,0.11224985122680664,0.07977533340454102,0.06670951843261719,0.08724284172058105,0.08769869804382324,0.06713294982910156,0.08795046806335449,0.08299565315246582,0.09496855735778809,0.06865978240966797,0.08216643333435059,0.07145810127258301,0.10140252113342285,0.06833362579345703
50%,0.08292222023010254,0.06822919845581055,0.14366793632507324,0.06509137153625488,0.07936477661132812,0.09369945526123047,0.11691927909851074,0.11182451248168945,0.08012843132019043,0.11133813858032227,0.11345386505126953,0.06748247146606445,0.11004757881164551,0.2195873260498047,0.09521150588989258,0.0984196662902832,0.10104751586914062,0.08117008209228516,0.1377255916595459,0.06833362579345703
75%,0.08454298973083496,0.06882810592651367,0.18523144721984863,0.16052746772766113,0.09606170654296875,0.10075879096984863,0.1206047534942627,0.11777806282043457,0.08641672134399414,0.12445235252380371,0.1168370246887207,0.07218647003173828,0.13080048561096191,0.24083423614501953,0.11364102363586426,0.17653536796569824,0.1203007698059082,0.10123467445373535,0.1797323226928711,0.06833362579345703
max,0.10898041725158691,0.18024730682373047,0.30174732208251953,1.386425495147705,0.1962428092956543,0.16915416717529297,0.1267549991607666,0.18990397453308105,0.18463754653930664,0.1266636848449707,0.21825575828552246,0.12137317657470703,0.2539379596710205,0.6536614894866943,0.14670181274414062,0.21627449989318848,0.13170719146728516,0.18490028381347656,0.1952824592590332,0.06833362579345703
