real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[10.0, 20.0, 25.0, 0.3]",[12.         17.04952185 23.46943266  0.2       ],280.95,283.29407,"[array([12.        , 17.04952185, 23.46943266,  0.2       ]), array([11.06832096, 17.55254903, 24.87212389,  0.31358637]), array([11.04575622, 15.9609521 , 24.80022925,  0.35499038]), array([10.52069425, 17.55458439, 22.40717495,  0.20422337]), array([10.30493014, 17.1052896 , 22.04910756,  0.24455144])]",13.030168056488037
"[12.0, 10.0, 25.0, 0.2]",[ 8.  10.  15.   0.2],234.13,234.56863,"[array([ 8. , 10. , 15. ,  0.2]), array([ 8.        , 10.        , 20.24446655,  0.2       ]), array([ 8.75784288, 11.41027103, 21.0826688 ,  0.22447823]), array([ 8.66896458, 12.57792167, 16.91490528,  0.26691643]), array([ 9.00641558, 14.40835293, 21.3019079 ,  0.26311082])]",8.21577000617981
"[12.0, 15.0, 15.0, 0.2]",[11.72534243 16.06708331 16.32463575  0.33368908],271.93,273.67657,"[array([11.72534243, 16.06708331, 16.32463575,  0.33368908]), array([11.51263362, 16.66584875, 19.46575962,  0.37351783]), array([10.82259094, 15.63487613, 21.49389165,  0.25766384]), array([11.86999141, 16.05607414, 21.20878508,  0.25542094]), array([12.        , 13.30351638, 25.        ,  0.4       ])]",4.669989824295044
"[12.0, 15.0, 25.0, 0.4]",[10.78430911 19.97292586 24.81263739  0.4       ],288.0,285.42554,"[array([10.78430911, 19.97292586, 24.81263739,  0.4       ]), array([11.88679837, 15.14887654, 22.8770635 ,  0.4       ]), array([11.68272356, 19.18853611, 24.98054014,  0.4       ]), array([11.80959351, 19.72435602, 23.97549041,  0.4       ]), array([10.9997626 , 15.88996593, 22.83542434,  0.31439794])]",4.651357650756836
"[12.0, 20.0, 15.0, 0.4]",[11.81676154 19.48977828 20.04708078  0.20479039],279.25,278.2834,"[array([11.81676154, 19.48977828, 20.04708078,  0.20479039]), array([12.        , 10.        , 17.61412211,  0.2       ]), array([10.95759337, 15.96400384, 18.74188907,  0.4       ]), array([10.5434865 , 16.05193659, 19.05798645,  0.4       ]), array([10.81817945, 16.70282284, 18.52765491,  0.4       ])]",11.591760635375977
"[9.0, 20.0, 15.0, 0.3]",[ 8.12206609 17.03305142 24.87274404  0.29284835],216.53,220.59586,"[array([ 8.12206609, 17.03305142, 24.87274404,  0.29284835]), array([ 8.81647325, 17.07901327, 19.0759919 ,  0.22099105]), array([ 8.58278361, 17.46871743, 18.85802149,  0.2       ]), array([ 8.1598937 , 16.53509973, 19.3660816 ,  0.2       ]), array([ 8.52479507, 18.04693221, 17.59048973,  0.20253147])]",7.0635552406311035
"[10.0, 12.5, 15.0, 0.3]",[11.89259146 14.60654194 19.34763355  0.20125397],259.61,260.43323,"[array([11.89259146, 14.60654194, 19.34763355,  0.20125397]), array([10.78398771, 14.59945287, 15.        ,  0.2       ]), array([10.47746959, 10.37312945, 20.50209075,  0.26474703]), array([10.29952118, 15.29307055, 16.22997257,  0.20008221]), array([10.94239003, 10.42808227, 20.49635173,  0.30381969])]",5.328137397766113
"[9.0, 20.0, 22.5, 0.3]",[ 9.83468276 12.74214124 15.94164512  0.26346813],247.16,245.71619,"[array([ 9.83468276, 12.74214124, 15.94164512,  0.26346813]), array([ 9.02259586, 16.55301696, 20.52445883,  0.2       ]), array([ 9.10072039, 14.49010894, 21.2752106 ,  0.31858858]), array([12.        , 11.66368404, 25.        ,  0.4       ]), array([ 9.4417431 , 14.5802042 , 22.46315997,  0.297244  ])]",7.210610866546631
"[9.0, 20.0, 15.0, 0.25]",[ 8.  20.  25.   0.2],212.82,212.168,"[array([ 8. , 20. , 25. ,  0.2]), array([ 8.36318956, 14.78710706, 22.75716562,  0.20880476]), array([ 8.91678275, 19.1530047 , 24.34727008,  0.29219568]), array([ 8.00193277, 10.40716784, 24.8691892 ,  0.36977308]), array([ 8.99071353, 10.4119168 , 23.31436617,  0.36313682])]",6.900011301040649
"[9.0, 12.5, 15.0, 0.25]",[ 9.70877069 19.02374424 18.97203451  0.24182449],244.43,244.4927,"[array([ 9.70877069, 19.02374424, 18.97203451,  0.24182449]), array([ 9.53433827, 19.63861654, 18.43428746,  0.2       ]), array([ 9.73794807, 19.17140537, 18.63004474,  0.2       ]), array([ 9.01936271, 11.79992454, 21.77270286,  0.26893737]), array([ 9.51628809, 12.03960118, 22.14694037,  0.26425143])]",5.477299451828003
