43/150: MAE = 20.9633 ± 3.1120, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
44/150: MAE = 15.8307 ± 3.2472, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
45/150: MAE = 22.9987 ± 2.7036, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
46/150: MAE = 19.4080 ± 4.5903, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
47/150: MAE = 22.3821 ± 4.0478, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
48/150: MAE = 18.3370 ± 4.1005, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
49/150: MAE = 20.5085 ± 2.6836, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
50/150: MAE = 22.6363 ± 3.4112, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
51/150: MAE = 22.4755 ± 3.6526, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
52/150: MAE = 16.6996 ± 1.1186, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
53/150: MAE = 21.4664 ± 6.2780, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
54/150: MAE = 18.5142 ± 6.9054, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
55/150: MAE = 21.3062 ± 5.2074, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
56/150: MAE = 19.7533 ± 4.4985, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
57/150: MAE = 22.2080 ± 1.7392, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
58/150: MAE = 19.3219 ± 3.3906, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
59/150: MAE = 22.6608 ± 3.3797, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
60/150: MAE = 18.1964 ± 3.9405, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
61/150: MAE = 22.5407 ± 4.8004, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
62/150: MAE = 19.4429 ± 3.4155, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
63/150: MAE = 20.9668 ± 5.5201, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
64/150: MAE = 17.0203 ± 2.4993, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
65/150: MAE = 21.0152 ± 2.5300, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
66/150: MAE = 19.7379 ± 4.8461, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
67/150: MAE = 19.8877 ± 5.1826, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
68/150: MAE = 19.4275 ± 2.0783, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
69/150: MAE = 22.8520 ± 7.9179, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
70/150: MAE = 18.6198 ± 4.9001, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
71/150: MAE = 21.4379 ± 6.0336, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
72/150: MAE = 19.6228 ± 4.8635, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
73/150: MAE = 23.9493 ± 3.2002, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
74/150: MAE = 18.9663 ± 4.4381, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
75/150: MAE = 23.7281 ± 6.7044, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
76/150: MAE = 20.3793 ± 3.5026, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
77/150: MAE = 19.6752 ± 4.2758, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
78/150: MAE = 20.1729 ± 4.1157, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
79/150: MAE = 21.3638 ± 3.6196, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
