real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[9.0, 12.5, 22.5, 0.25]",[ 8.50292299 16.99819735 20.08262919  0.3892827 ],231.97,232.3745,"[array([ 8.50292299, 16.99819735, 20.08262919,  0.3892827 ]), array([ 8.97372468, 16.2132301 , 20.45966883,  0.3871449 ]), array([ 8.50292299, 16.99819735, 20.08262919,  0.3892827 ]), array([ 8.80594811, 17.05705056, 20.04552723,  0.36160998]), array([ 8.50514797, 15.29367143, 21.48792715,  0.38058575])]",1.6402931213378906
"[8.0, 10.0, 15.0, 0.3]",[ 9.04352563 16.57590768 23.45272779  0.22498409],235.5,235.39095,"[array([ 9.04352563, 16.57590768, 23.45272779,  0.22498409]), array([ 9.80489565, 15.31210679, 23.99937401,  0.22099164]), array([ 9.25859109, 15.5670905 , 23.41895098,  0.23379888]), array([ 9.47751551, 17.54453064, 23.55859157,  0.20066958]), array([ 9.17886652, 19.11722657, 24.26999666,  0.21081351])]",0.5358250141143799
"[8.0, 10.0, 15.0, 0.4]",[10.6154886  20.         19.66545794  0.4       ],252.02,252.64879,"[array([10.6154886 , 20.        , 19.66545794,  0.4       ]), array([10.50442642, 20.        , 16.79951442,  0.4       ]), array([10.49425723, 20.        , 19.53387918,  0.4       ]), array([10.195597  , 20.        , 18.22046295,  0.4       ]), array([10.45468469, 20.        , 19.12743257,  0.4       ])]",1.270148515701294
"[8.0, 15.0, 20.0, 0.4]",[ 9.28587865 18.98284456 19.29057779  0.2428884 ],242.01,242.10097,"[array([ 9.28587865, 18.98284456, 19.29057779,  0.2428884 ]), array([ 9.398716  , 16.        , 17.68083855,  0.2447649 ]), array([ 9.42730799, 18.87919898, 18.38463963,  0.24975417]), array([ 9.06091009, 19.12323402, 16.63187856,  0.24125365]), array([ 9.09908506, 17.61264218, 18.73779824,  0.2464782 ])]",1.9200761318206787
"[8.0, 20.0, 15.0, 0.4]",[ 8.85515904 15.07912414 25.          0.30415707],206.28,206.6524,"[array([ 8.85515904, 15.07912414, 25.        ,  0.30415707]), array([ 8.48706015, 17.39403587, 25.        ,  0.33813246]), array([ 8.       , 16.       , 25.       ,  0.3148848]), array([ 8.84794722, 16.11242333, 25.        ,  0.32344131]), array([ 8.80691802, 16.39817219, 25.        ,  0.32177124])]",1.6346375942230225
"[8.0, 20.0, 20.0, 0.2]",[ 8.1201823  14.20969587 23.92177946  0.2       ],206.69,207.80984,"[array([ 8.1201823 , 14.20969587, 23.92177946,  0.2       ]), array([ 8.4352953 , 12.71423481, 24.18861728,  0.21361246]), array([ 8.03668655, 13.76079982, 24.87302617,  0.2       ]), array([ 8.86531752, 14.62788756, 24.65216712,  0.22286417]), array([ 8.26537468, 12.83377646, 24.31160584,  0.2       ])]",0.5633983612060547
"[8.0, 20.0, 20.0, 0.4]",[ 9.73031531 19.71728738 18.54491075  0.23408544],242.06,242.10097,"[array([ 9.73031531, 19.71728738, 18.54491075,  0.23408544]), array([ 9.02548731, 19.46425304, 18.85965664,  0.23309468]), array([ 9.65957172, 16.70024036, 17.93477052,  0.219527  ]), array([ 9.39436034, 19.67253471, 18.14141136,  0.23157848]), array([ 9.81748462, 17.08278477, 18.06462058,  0.24469546])]",0.4656355381011963
"[10.0, 10.0, 15.0, 0.4]",[11.60320358 16.5236234  23.62886046  0.4       ],291.99,291.98276,"[array([11.60320358, 16.5236234 , 23.62886046,  0.4       ]), array([10.82213783, 16.25490712, 23.83840641,  0.4       ]), array([11.02969961, 18.91528465, 24.75169784,  0.4       ]), array([11.21322935, 18.71985211, 23.05856717,  0.4       ]), array([11.51202877, 19.69610973, 24.56648277,  0.4       ])]",0.9546899795532227
"[10.0, 15.0, 15.0, 0.3]",[10.78594719 19.03366962 22.84801076  0.22608237],269.29,269.51883,"[array([10.78594719, 19.03366962, 22.84801076,  0.22608237]), array([11.51954095, 15.03449717, 22.78483522,  0.24160777]), array([10.77189203, 19.2437119 , 23.14813882,  0.22517954]), array([10.78594719, 19.03366962, 22.84801076,  0.22608237]), array([10.60571195, 18.87960817, 22.98437841,  0.24479197])]",0.7761027812957764
"[10.0, 20.0, 25.0, 0.2]",[10.95191412 20.         25.          0.22906521],278.1,278.5697,"[array([10.95191412, 20.        , 25.        ,  0.22906521]), array([11.21467663, 20.        , 25.        ,  0.23913443]), array([11.45554575, 20.        , 25.        ,  0.22344486]), array([11.42692417, 20.        , 25.        ,  0.23880375]), array([11.78345996, 20.        , 25.        ,  0.20839599])]",0.5862376689910889
"[10.0, 20.0, 25.0, 0.3]",[11.6251915  20.         21.40643461  0.31521947],280.95,280.74506,"[array([11.6251915 , 20.        , 21.40643461,  0.31521947]), array([11.35314937, 20.        , 20.57045072,  0.31789619]), array([11.63418963, 20.        , 20.64844178,  0.37193493]), array([11.8102841 , 20.        , 21.24275941,  0.36786157]), array([11.13798024, 20.        , 20.46221578,  0.34954476])]",0.7719781398773193
"[12.0, 10.0, 25.0, 0.2]",[ 8.39344785 10.         18.05614749  0.2443102 ],234.13,234.58319,"[array([ 8.39344785, 10.        , 18.05614749,  0.2443102 ]), array([ 8.        , 10.        , 17.42966905,  0.24510567]), array([ 8.        , 10.        , 19.80845603,  0.2       ]), array([ 8.        , 10.        , 18.41239848,  0.21680767]), array([ 8.        , 10.        , 18.33305855,  0.21726017])]",1.937239170074463
"[12.0, 15.0, 15.0, 0.2]",[11.51044982 12.91120519 22.16647661  0.31859198],271.93,271.82755,"[array([11.51044982, 12.91120519, 22.16647661,  0.31859198]), array([11.54890677, 13.19397077, 22.34257754,  0.31821361]), array([11.42412076, 13.40444991, 20.5272524 ,  0.30022587]), array([10.97169141, 13.91250546, 21.78324392,  0.33086779]), array([11.51044982, 12.91120519, 22.16647661,  0.31859198])]",0.49706435203552246
"[12.0, 15.0, 25.0, 0.4]",[10.59714593 15.39614528 21.56242127  0.4       ],288.0,288.3845,"[array([10.59714593, 15.39614528, 21.56242127,  0.4       ]), array([11.39746874, 17.83334143, 21.25682481,  0.4       ]), array([11.1926801 , 16.26114113, 22.18948161,  0.4       ]), array([11.22015204, 15.15670374, 21.98205167,  0.4       ]), array([10.8       , 17.28916441, 20.80922512,  0.4       ])]",0.7652275562286377
"[12.0, 20.0, 15.0, 0.4]",[10.81665335 18.96102671 22.13984333  0.23982405],279.25,278.9324,"[array([10.81665335, 18.96102671, 22.13984333,  0.23982405]), array([11.01381049, 19.21827244, 21.41823751,  0.24009061]), array([10.81665335, 18.96102671, 22.13984333,  0.23982405]), array([11.13373908, 19.28920843, 20.94858733,  0.24015211]), array([10.7061247 , 18.49297413, 20.27978028,  0.23526352])]",0.5440871715545654
"[9.0, 20.0, 15.0, 0.3]",[ 8.41067812 13.37485778 24.6062868   0.38559995],216.53,216.01433,"[array([ 8.41067812, 13.37485778, 24.6062868 ,  0.38559995]), array([ 8.41067812, 13.37485778, 24.6062868 ,  0.38559995]), array([ 8.4793915 , 13.39593346, 23.10407468,  0.32697276]), array([ 8.48158921, 13.1320303 , 22.52335438,  0.31955738]), array([ 8.38719326, 13.40233062, 24.62614461,  0.33690761])]",0.44321393966674805
"[10.0, 12.5, 15.0, 0.3]",[10.41351971 12.41579148 18.22440019  0.25783949],259.61,258.77716,"[array([10.41351971, 12.41579148, 18.22440019,  0.25783949]), array([10.41581062, 12.09450778, 19.10423435,  0.29758878]), array([10.88374716, 11.38907728, 18.92998228,  0.26299302]), array([10.90543749, 12.45341787, 15.69555975,  0.29057362]), array([10.5082212 , 11.28458632, 18.80489609,  0.28729121])]",0.517716646194458
"[9.0, 20.0, 22.5, 0.3]",[ 9.99804192 16.97617519 23.29332378  0.38097817],247.16,247.34647,"[array([ 9.99804192, 16.97617519, 23.29332378,  0.38097817]), array([ 9.2343381 , 15.17670291, 23.51031998,  0.33451772]), array([ 9.9677038 , 17.61198528, 23.21091315,  0.3522922 ]), array([ 9.99804192, 16.97617519, 23.29332378,  0.38097817]), array([ 9.56933644, 16.26378283, 23.93608535,  0.3703263 ])]",0.42526984214782715
"[9.0, 20.0, 15.0, 0.25]",[ 8.         20.         25.          0.27789537],212.82,212.24442,"[array([ 8.        , 20.        , 25.        ,  0.27789537]), array([ 8.        , 20.        , 25.        ,  0.25864698]), array([ 8.        , 20.        , 25.        ,  0.28779414]), array([ 8.        , 20.        , 25.        ,  0.25154844]), array([ 8.        , 20.        , 25.        ,  0.25669479])]",0.4904775619506836
"[9.0, 12.5, 15.0, 0.25]",[ 9.52101712 16.55194506 18.95098314  0.25657795],244.43,245.19579,"[array([ 9.52101712, 16.55194506, 18.95098314,  0.25657795]), array([ 9.53945486, 16.27057711, 19.83236229,  0.29450567]), array([ 9.58044697, 16.71919014, 19.69053507,  0.26618856]), array([ 9.25247649, 16.83238342, 19.78221452,  0.25019685]), array([ 9.44552028, 15.30367366, 18.25204737,  0.25922998])]",0.4255809783935547
