,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.510090446472168,0.905994462966919,0.7715776443481446,0.6642588615417481,0.48317666053771974,0.5226449966430664,0.5342456340789795,0.5374624252319335,0.49639453887939455,0.6044634342193603,0.8359405994415283,0.6283171653747559,0.5540206432342529,0.6511157035827637,0.5022965908050537,0.5632030010223389,0.5451714515686035,0.6151817798614502,0.7081523418426514,0.5314719676971436
std,0.1367219243828583,0.6541602528036804,0.645123324258482,0.5429910569155557,0.06277031837003451,0.14538958883821898,0.23747048725978398,0.1410533927253431,0.059851478003725124,0.24996212883111632,0.6332798085641571,0.1978851988979652,0.14898895251642275,0.2236741481791296,0.06601875240422896,0.11492248348081402,0.13129341976782377,0.15403558007863385,0.5256442119320541,
min,0.423337459564209,0.40436697006225586,0.413254976272583,0.40680885314941406,0.41829395294189453,0.40366148948669434,0.39668941497802734,0.43221592903137207,0.4222137928009033,0.3857557773590088,0.4184877872467041,0.3952162265777588,0.40901899337768555,0.5282814502716064,0.44321393966674805,0.4969360828399658,0.39649176597595215,0.4904775619506836,0.3889586925506592,0.5314719676971436
25%,0.4260597229003906,0.4340853691101074,0.44562768936157227,0.4068872928619385,0.42998242378234863,0.443958044052124,0.39963579177856445,0.4354248046875,0.47188711166381836,0.4249460697174072,0.4360499382019043,0.49706435203552246,0.43014097213745117,0.5325984954833984,0.4515225887298584,0.49875712394714355,0.42526984214782715,0.5059609413146973,0.4255809783935547,0.5314719676971436
50%,0.42608642578125,0.5327873229980469,0.4988672733306885,0.40968966484069824,0.47409510612487793,0.4656355381011963,0.44060349464416504,0.5036885738372803,0.49325084686279297,0.4798290729522705,0.6022567749023438,0.5876743793487549,0.5274157524108887,0.5440871715545654,0.4721841812133789,0.517716646194458,0.5680396556854248,0.5154516696929932,0.5401642322540283,0.5314719676971436
75%,0.5358250141143799,1.270148515701294,0.5800621509552002,0.463270902633667,0.5301134586334229,0.5305638313293457,0.47960948944091797,0.5398800373077393,0.5083832740783691,0.7719781398773193,0.7856693267822266,0.8042831420898438,0.6382999420166016,0.6029922962188721,0.5540778636932373,0.5357775688171387,0.6383683681488037,0.7518553733825684,0.545764684677124,0.5314719676971436
max,0.7391436100006104,1.8885841369628906,1.9200761318206787,1.6346375942230225,0.5633983612060547,0.7694060802459717,0.9546899795532227,0.7761027812957764,0.5862376689910889,0.9598081111907959,1.937239170074463,0.8573477268218994,0.7652275562286377,1.047619104385376,0.5904843807220459,0.7668275833129883,0.6976876258850098,0.8121633529663086,1.6402931213378906,0.5314719676971436
