real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 25.0, 0.3]",[ 8.20867756 15.83852811 15.18876847  0.34248879],201.38,233.84187,"[array([ 8.20867756, 15.83852811, 15.18876847,  0.34248879]), array([ 8.6785845 , 19.10412464, 19.36030162,  0.38528406]), array([ 9.5122765 , 16.27510594, 15.7849847 ,  0.38010894]), array([ 9.67079849, 17.66786955, 18.60885676,  0.34886095]), array([10.2243436 , 11.66363751, 23.39451436,  0.23101509])]",0.007178783416748047
"[8.0, 10.0, 25.0, 0.4]",[ 8.50505117 10.34962665 15.05469097  0.38735759],215.0,238.9722,"[array([ 8.50505117, 10.34962665, 15.05469097,  0.38735759]), array([11.29816951, 12.47966172, 24.46560447,  0.22662937]), array([11.75813899, 17.07784301, 15.8490544 ,  0.22420178]), array([10.04062074, 11.9607592 , 15.24572793,  0.21660196]), array([11.79614318, 10.53600717, 23.19696664,  0.34327395])]",0.008421897888183594
"[8.0, 15.0, 20.0, 0.3]",[ 8.58660825 11.69196002 19.42803056  0.2350464 ],228.56,233.70535,"[array([ 8.58660825, 11.69196002, 19.42803056,  0.2350464 ]), array([ 8.51055916, 18.75406791, 18.2565865 ,  0.38051367]), array([ 8.86769589, 13.25182171, 16.4666978 ,  0.31789051]), array([ 9.07828011, 15.28655433, 20.92484861,  0.39615507]), array([10.39462193, 13.17570271, 19.14696047,  0.22081383])]",0.007185935974121094
"[8.0, 15.0, 25.0, 0.4]",[ 8.73401087 18.69545462 20.02533993  0.21829189],213.66,221.93854,"[array([ 8.73401087, 18.69545462, 20.02533993,  0.21829189]), array([ 8.3583699 , 14.6367406 , 24.15488831,  0.25846666]), array([ 8.4430951 , 10.51961542, 18.06993224,  0.23244564]), array([ 9.86037634, 10.03302085, 17.51809097,  0.34409896]), array([ 9.85271603, 10.39118658, 19.64828948,  0.32349206])]",0.007420063018798828
"[8.0, 20.0, 15.0, 0.3]",[ 8.3904087  15.11924973 19.86692659  0.21885175],197.73,218.67989,"[array([ 8.3904087 , 15.11924973, 19.86692659,  0.21885175]), array([ 8.30694562, 11.40654054, 15.76488948,  0.33410727]), array([ 8.94008419, 14.73838218, 17.57592888,  0.32062638]), array([ 9.97541921, 16.76167332, 22.02834165,  0.26128525]), array([ 9.75779099, 18.17305452, 21.90701556,  0.28862053])]",0.007489919662475586
"[8.0, 20.0, 25.0, 0.2]",[ 8.08316776 16.95734875 21.78114651  0.23737338],205.25,221.93854,"[array([ 8.08316776, 16.95734875, 21.78114651,  0.23737338]), array([ 9.36757286, 15.71749022, 16.49543694,  0.23629494]), array([ 8.10529286, 11.69034525, 21.96174402,  0.20322435]), array([ 8.56615132, 10.90248113, 22.02719873,  0.21440178]), array([ 9.58085473, 11.45677042, 23.04731006,  0.20367334])]",0.008325815200805664
"[8.0, 20.0, 25.0, 0.3]",[ 8.56461343 15.60635053 19.16568177  0.30901124],215.7,233.84187,"[array([ 8.56461343, 15.60635053, 19.16568177,  0.30901124]), array([ 9.9809644 , 12.37712229, 16.02825631,  0.36004091]), array([ 9.46214118, 14.68718773, 17.01661283,  0.3088502 ]), array([11.70637478, 17.7997547 , 16.01529612,  0.21835131]), array([10.40126059, 18.35339357, 18.65553225,  0.24223447])]",0.0072138309478759766
"[10.0, 10.0, 15.0, 0.2]",[10.57617196 15.36314922 16.68513346  0.38102732],269.91,269.9157,"[array([10.57617196, 15.36314922, 16.68513346,  0.38102732]), array([10.09461606, 10.70085774, 23.25598836,  0.32008874]), array([11.34338719, 13.04792757, 15.14653464,  0.3172833 ]), array([11.13519557, 10.88094639, 20.58005159,  0.23880694]), array([ 9.54500357, 14.17871221, 16.11342283,  0.35867684])]",0.007256984710693359
"[10.0, 10.0, 25.0, 0.3]",[ 9.94374548 17.35495316 16.24017936  0.38575698],239.28,238.83008,"[array([ 9.94374548, 17.35495316, 16.24017936,  0.38575698]), array([ 9.84518458, 18.95964866, 17.44371465,  0.35229476]), array([ 9.28880449, 14.967092  , 23.13356154,  0.31511461]), array([ 8.8209499 , 18.60644661, 21.8866252 ,  0.34914982]), array([ 8.76541398, 19.79705592, 22.29765615,  0.37710191])]",0.008283138275146484
"[10.0, 15.0, 15.0, 0.2]",[10.16262472 14.44476123 21.88185028  0.27789328],263.67,265.3215,"[array([10.16262472, 14.44476123, 21.88185028,  0.27789328]), array([10.02032694, 13.63990669, 20.15254093,  0.37970232]), array([11.45554919, 15.54480863, 22.75491957,  0.22535233]), array([11.09874195, 15.7070116 , 17.02899921,  0.37920454]), array([ 9.27260258, 14.96028453, 20.28554399,  0.35947207])]",0.0077092647552490234
