,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,0.01812152862548828,0.00891265869140625,0.014575529098510741,0.008772945404052735,0.008168601989746093,0.00798640251159668,0.008080625534057617,0.007859182357788087,0.007723426818847657,0.007885360717773437,0.008089590072631835,0.007823657989501954,0.008155488967895507,0.01571354866027832,0.007810211181640625,0.008010673522949218,0.00790557861328125,0.014443206787109374,0.009076070785522462,0.007144927978515625
std,0.020164605390020757,0.001310713241275141,0.013869152913447256,0.0007091583111705724,0.0008009524921727907,0.0005605505145481307,0.00047388979659842363,0.00046280581812394494,0.0006836454888318199,0.0005968935811629935,0.0006001961357181588,0.0002407467772294046,0.0006970410610225343,0.016347932758283897,0.0004506245048491221,0.0005577474217773974,0.0006804234341022432,0.0150823007281197,0.002558554872647949,
min,0.007948875427246094,0.007268190383911133,0.007178783416748047,0.008244037628173828,0.007185935974121094,0.007353782653808594,0.007489919662475586,0.007428169250488281,0.006982326507568359,0.007256984710693359,0.007591724395751953,0.007470130920410156,0.0072367191314697266,0.007693767547607422,0.0071909427642822266,0.00710606575012207,0.007210969924926758,0.007462978363037109,0.007626056671142578,0.007144927978515625
25%,0.0084381103515625,0.00835728645324707,0.007802724838256836,0.008421897888183594,0.007712125778198242,0.007420063018798828,0.0076961517333984375,0.0074770450592041016,0.0072138309478759766,0.007460117340087891,0.007697105407714844,0.0077092647552490234,0.007589817047119141,0.00778508186340332,0.007679939270019531,0.00785684585571289,0.00751185417175293,0.00775909423828125,0.007997751235961914,0.007144927978515625
50%,0.009483098983764648,0.008977890014648438,0.008136987686157227,0.008487939834594727,0.008152008056640625,0.008263111114501953,0.008179903030395508,0.0076808929443359375,0.007580995559692383,0.007868289947509766,0.007822036743164062,0.007905960083007812,0.008562803268432617,0.007869958877563477,0.007729053497314453,0.008264303207397461,0.007838964462280273,0.007763862609863281,0.008004188537597656,0.007144927978515625
75%,0.010590314865112305,0.009092092514038086,0.010474205017089844,0.008703947067260742,0.008488893508911133,0.008316993713378906,0.008455038070678711,0.008325815200805664,0.008233070373535156,0.008049249649047852,0.008283138275146484,0.007936954498291016,0.008564949035644531,0.010328054428100586,0.00805211067199707,0.008328914642333984,0.00796198844909668,0.00780797004699707,0.008111238479614258,0.007144927978515625
max,0.05414724349975586,0.010867834091186523,0.03928494453430176,0.010006904602050781,0.009304046630859375,0.008578062057495117,0.008582115173339844,0.008383989334106445,0.008606910705566406,0.00879216194152832,0.009053945541381836,0.008095979690551758,0.008823156356811523,0.0448908805847168,0.008399009704589844,0.008497238159179688,0.00900411605834961,0.041422128677368164,0.013641119003295898,0.007144927978515625
