,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
mean,8.319099378585815,9.841614151000977,9.413118314743041,10.107576179504395,10.52630615234375,13.385220098495484,6.23716549873352,8.430758905410766,7.814373540878296,11.750668478012084,7.30836238861084,8.158685159683227,7.463055849075317,9.21391339302063,9.76698989868164,5.648117351531982,6.325949668884277,7.897026586532593,8.221003532409668,13.264619588851929
std,2.745267169554857,7.3379257831871145,6.253302135827541,4.917029045000582,7.156177550221689,6.965221130808665,1.5549477780535204,5.691357158855451,4.121308884651884,4.208519950329453,2.1514203449433102,6.207367025760952,2.7417055382845787,3.0387656639914638,9.03888608110431,1.0054955728025148,1.3994533648797827,2.0798648772279424,2.257853779434174,
min,5.09466552734375,4.08930516242981,3.889136791229248,4.151573419570923,4.840007781982422,5.725697040557861,4.7126195430755615,4.103430986404419,3.994675397872925,5.3878185749053955,4.9785003662109375,4.345074415206909,4.651357650756836,5.762626647949219,5.104182004928589,4.556548833847046,4.259342670440674,6.0517308712005615,5.477299451828003,13.264619588851929
25%,7.664937973022461,4.490084648132324,5.558404445648193,5.979083061218262,4.8726770877838135,7.077794313430786,5.2385969161987305,4.240590810775757,4.252910852432251,10.282301664352417,5.692938566207886,4.669989824295044,4.796637535095215,6.194464445114136,5.285338878631592,5.328137397766113,5.577892065048218,6.900011301040649,6.341075897216797,13.264619588851929
50%,8.014751195907593,6.592798471450806,6.430424928665161,11.670804023742676,6.236811876296997,15.179520845413208,5.486269950866699,4.596707820892334,7.624204158782959,13.030168056488037,7.240032434463501,5.887784004211426,7.577375173568726,10.291360855102539,5.505554437637329,5.4263951778411865,6.8676652908325195,7.207548379898071,8.816721439361572,13.264619588851929
75%,8.121474027633667,12.540299654006958,12.006088256835938,12.718878746032715,18.282599925994873,16.446720838546753,7.412296295166016,13.533545017242432,9.15382194519043,13.428875207901001,8.21577000617981,6.763425827026367,9.57305645942688,11.591760635375977,7.0635552406311035,5.637942790985107,7.210610866546631,7.903368949890137,9.578207015991211,13.264619588851929
max,12.699668169021606,21.495582818984985,19.18153715133667,16.017541646957397,18.399434089660645,22.49636745452881,8.336044788360596,15.679519891738892,14.046255350112915,16.624178886413574,10.414570569992065,19.12715172767639,10.71685242652893,12.22935438156128,25.87631893157959,7.291562557220459,7.714237451553345,11.422473430633545,10.891713857650757,13.264619588851929
